num_dol,num_dmi,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmi,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,3,0,0,1,1O,1O:1O:1O,,,,4350,21.974136189129116,Cluster_065_078.xyz
1,2,0,1,1,1O,1O:1O,,1S,,1999,10.097999595877955,Cluster_054_076.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,1777,8.976560921398262,Cluster_051_037.xyz
0,4,0,0,1,,1O:1O:1O:1O,,,,1434,7.243887654071529,Cluster_092_169.xyz
1,2,1,0,1,1O,1O:1O,1O,,,1342,6.779147302485351,Cluster_100_052.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,1150,5.809254394827238,Cluster_072_122.xyz
1,2,0,0,1,1O,1O:1O,,,,1085,5.480905233380481,Cluster_099_115.xyz
2,1,0,1,1,1O:1O,1O,,1S,,934,4.718124873711861,Cluster_013_073.xyz
0,2,0,1,1,,1O:1O,,1S,,792,4.000808244089715,Cluster_014_106.xyz
0,3,0,0,1,,1O:1O:1O,,,,691,3.490604162457062,Cluster_010_144.xyz
1,1,0,1,1,1O,1O,,1S,,505,2.5510204081632653,Cluster_004_046.xyz
2,1,1,0,1,1O:1O,1O,1O,,,441,2.227722772277228,Cluster_051_147.xyz
1,1,1,1,1,1O,1O,1O,1S,,439,2.217619721155789,Cluster_034_148.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,378,1.9094766619519095,Cluster_002_024.xyz
2,1,0,0,1,1O:1O,1O,,,,290,1.4649424126086077,Cluster_035_075.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,239,1.2073146090119216,Cluster_050_073.xyz
0,2,1,1,1,,1O:1O,1O,1S,,213,1.0759749444332187,Cluster_015_153.xyz
0,2,1,0,1,,1O:1O,1O,,,148,0.7476257829864619,Cluster_034_116.xyz
0,2,0,0,1,,1O:1O,,,,125,0.6314406950899172,Cluster_041_074.xyz
1,1,1,0,1,1O,1O,1O,,,122,0.6162861184077592,Cluster_094_032.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,105,0.5304101838755304,Cluster_098_069.xyz
1,0,0,1,1,1O,,,2S,,94,0.4748434027076177,Cluster_020_085.xyz
2,0,1,1,1,1O:1O,,1O,1S,,93,0.46979187714689835,Cluster_088_040.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,86,0.434431198221863,Cluster_083_040.xyz
0,1,0,1,1,,1O,,1S,,81,0.4091735704182663,Cluster_098_073.xyz
0,2,0,1,1,,1O:1O,,2S,,77,0.38896746817538896,Cluster_076_045.xyz
0,1,0,1,1,,1O,,2S,,70,0.3536067892503536,Cluster_077_043.xyz
1,1,0,1,1,1O,1O,,2S,,65,0.3283491614467569,Cluster_000_055.xyz
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,59,0.2980400080824409,Cluster_031_027.xyz
2,0,0,1,1,1O:1O,,,1S,,51,0.2576278035966862,Cluster_081_091.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,47,0.23742170135380886,Cluster_060_083.xyz
1,1,2,0,1,1O,1O,1O:1O,,,44,0.22226712467165083,Cluster_035_147.xyz
0,1,1,1,1,,1O,1O,1S,,37,0.18690644574661547,Cluster_001_127.xyz
1,1,0,0,1,1O,1O,,,,32,0.1616488179430188,Cluster_010_075.xyz
1,0,0,1,1,1O,,,1S,,29,0.14649424126086077,Cluster_018_085.xyz
0,2,1,0,1,,1O:1O,2O,,,24,0.1212366134572641,Cluster_071_125.xyz
2,0,0,1,1,1O:1O,,,2S,,20,0.10103051121438675,Cluster_079_085.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,17,0.08587593453222873,Cluster_023_014.xyz
1,0,1,1,1,1O,,1O,1S,,16,0.0808244089715094,Cluster_036_040.xyz
2,0,1,0,1,1O:1O,,1O,,,15,0.07577288341079005,Cluster_046_038.xyz
3,0,0,0,1,1O:1O:1O,,,,,15,0.07577288341079005,Cluster_086_038.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,13,0.06566983228935139,Cluster_018_091.xyz
0,1,1,1,1,,1O,2O,1S,,11,0.05556678116791271,Cluster_050_014.xyz
1,1,1,0,1,1O,1O,2O,,,10,0.050515255607193374,Cluster_069_092.xyz
0,1,2,1,1,,1O,1O:1O,1S,,8,0.0404122044857547,Cluster_002_011.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,7,0.03536067892503536,Cluster_003_091.xyz
0,2,0,9,1,,1O:1O,,:::::1S:1S:1S:1S,,7,0.03536067892503536,Cluster_010_129.xyz
