num_dol,num_dms,num_tfsi,num_ps,num_li,atoms_dol,atoms_dms,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,3,0,0,1,1O,1O:1O:1O,,,,3959,19.998989694887857,Cluster_054_076.xyz
1,2,0,1,1,1O,1O:1O,,1S,,2528,12.770256617498484,Cluster_034_148.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,2162,10.921398262275208,Cluster_099_115.xyz
0,4,0,0,1,,1O:1O:1O:1O,,,,1947,9.835320266720549,Cluster_076_121.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,1611,8.138007678318852,Cluster_003_145.xyz
2,1,0,1,1,1O:1O,1O,,1S,,1077,5.440493028894727,Cluster_062_127.xyz
1,2,1,0,1,1O,1O:1O,1O,,,879,4.440290967872297,Cluster_011_066.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,586,2.9601939785815317,Cluster_054_180.xyz
1,4,0,0,1,1O,1O:1O:1O:1O,,,,393,1.9852495453626995,Cluster_035_084.xyz
1,1,1,1,1,1O,1O,1O,1S,,312,1.5760759749444333,Cluster_013_187.xyz
2,1,1,0,1,1O:1O,1O,1O,,,305,1.540715296019398,Cluster_003_070.xyz
2,3,0,0,1,1O:1O,1O:1O:1O,,,,286,1.4447363103657305,Cluster_086_102.xyz
1,2,0,0,1,1O,1O:1O,,,,266,1.3437057991513437,Cluster_046_163.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,261,1.318448171347747,Cluster_076_098.xyz
1,3,1,0,1,1O,1O:1O:1O,1O,,,260,1.3133966457870276,Cluster_024_089.xyz
0,2,1,1,1,,1O:1O,1O,1S,,226,1.1416447767225701,Cluster_084_051.xyz
0,5,0,0,1,,1O:1O:1O:1O:1O,,,,193,0.9749444332188321,Cluster_100_052.xyz
1,1,0,1,1,1O,1O,,1S,,176,0.8890684986866033,Cluster_064_126.xyz
0,3,0,0,1,,1O:1O:1O,,,,171,0.8638108708830067,Cluster_030_045.xyz
0,2,0,1,1,,1O:1O,,1S,,162,0.8183471408365326,Cluster_037_109.xyz
0,4,1,0,1,,1O:1O:1O:1O,1O,,,142,0.7173166296221459,Cluster_008_156.xyz
2,2,1,0,1,1O:1O,1O:1O,1O,,,130,0.6566983228935138,Cluster_081_169.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,102,0.5152556071933724,Cluster_011_041.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,91,0.4596888260254597,Cluster_091_190.xyz
1,2,0,1,1,1O,1O:1O,,2S,,79,0.39907051929682763,Cluster_079_031.xyz
2,1,0,0,1,1O:1O,1O,,,,79,0.39907051929682763,Cluster_001_085.xyz
0,2,0,1,1,,1O:1O,,2S,,78,0.3940189937361083,Cluster_081_034.xyz
0,3,0,1,1,,1O:1O:1O,,2S,,73,0.36876136593251163,Cluster_071_103.xyz
1,1,0,1,1,1O,1O,,2S,,70,0.3536067892503536,Cluster_035_127.xyz
3,2,0,0,1,1O:1O:1O,1O:1O,,,,64,0.3232976358860376,Cluster_031_053.xyz
2,0,1,1,1,1O:1O,,1O,1S,,55,0.2778339058395635,Cluster_087_155.xyz
0,2,0,9,1,,1O:1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,40,0.2020610224287735,Cluster_100_137.xyz
1,2,1,0,1,1O,1O:1O,2O,,,39,0.19700949686805416,Cluster_075_082.xyz
0,1,0,1,1,,1O,,2S,,36,0.18185492018589614,Cluster_001_127.xyz
1,1,2,0,1,1O,1O,1O:1O,,,32,0.1616488179430188,Cluster_088_186.xyz
1,0,0,1,1,1O,,,2S,,32,0.1616488179430188,Cluster_038_068.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,32,0.1616488179430188,Cluster_044_114.xyz
2,1,0,1,1,1O:1O,1O,,2S,,31,0.15659729238229944,Cluster_074_114.xyz
1,0,1,1,1,1O,,1O,2S,,30,0.1515457668215801,Cluster_064_068.xyz
0,3,1,0,1,,1O:1O:1O,2O,,,30,0.1515457668215801,Cluster_004_182.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,26,0.13133966457870277,Cluster_014_101.xyz
0,1,1,1,1,,1O,1O,1S,,25,0.12628813901798344,Cluster_059_178.xyz
1,2,2,0,1,1O,1O:1O,1O:1O,,,24,0.1212366134572641,Cluster_061_175.xyz
1,1,1,0,1,1O,1O,1O,,,23,0.11618508789654476,Cluster_066_002.xyz
0,2,1,0,1,,1O:1O,1O,,,20,0.10103051121438675,Cluster_065_117.xyz
0,2,1,1,1,,1O:1O,1O,2S,,20,0.10103051121438675,Cluster_022_154.xyz
0,1,1,9,1,,1O,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,19,0.0959789856536674,Cluster_078_097.xyz
1,0,1,1,1,1O,,1O,1S,,17,0.08587593453222873,Cluster_029_112.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,17,0.08587593453222873,Cluster_061_186.xyz
2,0,0,1,1,1O:1O,,,1S,,17,0.08587593453222873,Cluster_008_107.xyz
1,3,0,1,1,1O,1O:1O:1O,,1S,,16,0.0808244089715094,Cluster_091_141.xyz
2,1,2,0,1,1O:1O,1O,1O:1O,,,16,0.0808244089715094,Cluster_092_169.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,15,0.07577288341079005,Cluster_036_093.xyz
2,3,0,0,1,:1O,1O:1O:1O,,,,15,0.07577288341079005,Cluster_074_152.xyz
0,3,2,0,1,,1O:1O:1O,1O:1O,,,15,0.07577288341079005,Cluster_024_074.xyz
0,2,0,9,1,,1O:1O,,:::::1S:1S:1S:1S,,15,0.07577288341079005,Cluster_003_052.xyz
2,2,0,0,1,1O:2O,1O:1O,,,,14,0.07072135785007072,Cluster_023_117.xyz
1,3,0,0,1,1O,1O:1O:2O,,,,14,0.07072135785007072,Cluster_059_124.xyz
2,0,0,1,1,1O:1O,,,2S,,14,0.07072135785007072,Cluster_088_155.xyz
0,2,1,0,1,,1O:1O,2O,,,13,0.06566983228935139,Cluster_072_107.xyz
0,4,0,1,1,,1O:1O:1O:1O,,1S,,13,0.06566983228935139,Cluster_013_073.xyz
1,3,0,0,1,2O,1O:1O:1O,,,,13,0.06566983228935139,Cluster_083_040.xyz
2,1,1,0,1,1O:1O,1O,2O,,,12,0.06061830672863205,Cluster_087_063.xyz
0,2,0,9,1,,1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,12,0.06061830672863205,Cluster_017_093.xyz
0,1,0,1,1,,1O,,1S,,12,0.06061830672863205,Cluster_009_179.xyz
0,1,1,1,1,,1O,1O,2S,,12,0.06061830672863205,Cluster_027_021.xyz
1,1,1,1,1,1O,1O,1O,2S,,10,0.050515255607193374,Cluster_067_130.xyz
2,2,0,1,1,1O:1O,1O:1O,,1S,,9,0.045463730046474034,Cluster_051_152.xyz
1,0,2,1,1,1O,,1O:1O,1S,,9,0.045463730046474034,Cluster_021_010.xyz
0,4,0,0,1,,1O:1O:1O:2O,,,,8,0.0404122044857547,Cluster_098_172.xyz
0,3,1,0,1,,1O:1O:2O,1O,,,8,0.0404122044857547,Cluster_002_082.xyz
1,1,1,0,1,1O,1O,2O,,,7,0.03536067892503536,Cluster_001_074.xyz
3,1,1,0,1,1O:1O:1O,1O,1O,,,7,0.03536067892503536,Cluster_012_014.xyz
0,2,2,0,1,,1O:1O,1O:2O,,,7,0.03536067892503536,Cluster_029_076.xyz
0,1,2,1,1,,1O,1O:1O,1S,,6,0.030309153364316024,Cluster_080_020.xyz
1,1,0,0,1,1O,1O,,,,6,0.030309153364316024,Cluster_022_039.xyz
1,1,0,1,1,1O,1O,,3S,,6,0.030309153364316024,Cluster_086_020.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,6,0.030309153364316024,Cluster_016_023.xyz
0,1,1,1,1,,1O,2O,1S,,6,0.030309153364316024,Cluster_088_130.xyz
1,0,1,1,1,1O,,2O,1S,,6,0.030309153364316024,Cluster_005_010.xyz
2,2,0,0,1,1O:1O,1O:2O,,,,6,0.030309153364316024,Cluster_010_190.xyz
0,2,0,1,1,,1O:1O,,3S,,6,0.030309153364316024,Cluster_039_021.xyz
3,0,0,0,1,1O:1O:1O,,,,,6,0.030309153364316024,Cluster_084_190.xyz
