num_dol,num_dmso,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmso,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,4,0,0,1,,1O:1O:1O:1O,,,,12407,62.67427763184482,Cluster_092_169.xyz
1,3,0,0,1,1O,1O:1O:1O,,,,3711,18.74621135582946,Cluster_001_011.xyz
0,3,0,0,1,,1O:1O:1O,,,,942,4.758537078197616,Cluster_068_030.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,857,4.329157405536472,Cluster_054_076.xyz
1,2,0,1,1,1O,1O:1O,,1S,,484,2.4449383713881594,Cluster_031_027.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,418,2.111537684380683,Cluster_048_098.xyz
0,2,0,1,1,,1O:1O,,1S,,275,1.3891695291978177,Cluster_052_024.xyz
1,2,0,0,1,1O,1O:1O,,,,198,1.0002020610224287,Cluster_009_096.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,134,0.6769044251363912,Cluster_074_152.xyz
0,2,0,0,1,,1O:1O,,,,56,0.2828854314002829,Cluster_002_024.xyz
1,2,1,0,1,1O,1O:1O,1O,,,45,0.2273186502323702,Cluster_063_152.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,23,0.11618508789654476,Cluster_082_062.xyz
1,1,0,1,1,1O,1O,,1S,,21,0.10608203677510608,Cluster_034_148.xyz
0,5,0,0,1,,1O:1O:1O:1O:1O,,,,20,0.10103051121438675,Cluster_030_160.xyz
