num_dol,num_dps,num_tfsi,num_ps,num_li,atoms_dol,atoms_dps,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,4,0,0,1,,1O:1O:1O:1O,,,,3565,18.00868862396444,Cluster_054_076.xyz
1,3,0,0,1,1O,1O:1O:1O,,,,3541,17.88745201050717,Cluster_003_145.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,2015,10.178824004849465,Cluster_008_156.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,1953,9.865629420084865,Cluster_001_011.xyz
1,2,0,1,1,1O,1O:1O,,1S,,1853,9.360476864012933,Cluster_034_148.xyz
1,2,1,0,1,1O,1O:1O,1O,,,1380,6.971105273792685,Cluster_081_091.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,998,5.041422509597899,Cluster_013_061.xyz
0,2,0,1,1,,1O:1O,,1S,,682,3.445140432410588,Cluster_068_183.xyz
0,3,0,0,1,,1O:1O:1O,,,,596,3.010709234188725,Cluster_079_035.xyz
0,2,1,1,1,,1O:1O,1O,1S,,422,2.1317437866235602,Cluster_002_002.xyz
1,2,0,0,1,1O,1O:1O,,,,318,1.6063851283087491,Cluster_052_024.xyz
2,1,0,1,1,1O:1O,1O,,1S,,293,1.4800969892907658,Cluster_005_163.xyz
1,1,1,1,1,1O,1O,1O,1S,,292,1.4750454637300465,Cluster_076_121.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,181,0.9143261264902001,Cluster_069_174.xyz
2,1,1,0,1,1O:1O,1O,1O,,,153,0.7728834107900586,Cluster_059_187.xyz
0,2,0,1,1,,1O:1O,,2S,,153,0.7728834107900586,Cluster_061_134.xyz
1,1,0,1,1,1O,1O,,1S,,151,0.7627803596686199,Cluster_086_102.xyz
0,2,1,0,1,,1O:1O,1O,,,113,0.5708223883612851,Cluster_013_187.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,101,0.5102040816326531,Cluster_091_166.xyz
1,1,2,0,1,1O,1O,1O:1O,,,72,0.36370984037179227,Cluster_010_144.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,64,0.3232976358860376,Cluster_069_054.xyz
0,2,1,0,1,,1O:1O,2O,,,47,0.23742170135380886,Cluster_068_030.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,46,0.23237017579308952,Cluster_037_012.xyz
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,45,0.2273186502323702,Cluster_092_169.xyz
1,1,1,0,1,1O,1O,1O,,,39,0.19700949686805416,Cluster_080_001.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,37,0.18690644574661547,Cluster_010_121.xyz
0,2,0,0,1,,1O:1O,,,,33,0.16670034350373814,Cluster_025_035.xyz
1,2,1,0,1,1O,1O:1O,2O,,,30,0.1515457668215801,Cluster_023_143.xyz
1,3,1,0,1,1O,1O:1O:1O,1O,,,30,0.1515457668215801,Cluster_061_080.xyz
2,1,0,0,1,1O:1O,1O,,,,29,0.14649424126086077,Cluster_090_102.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,25,0.12628813901798344,Cluster_024_012.xyz
1,2,0,1,1,1O,1O:1O,,2S,,23,0.11618508789654476,Cluster_016_132.xyz
