num_dol,num_dpt,num_tfsi,num_ps,num_li,atoms_dol,atoms_dpt,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,2,1,0,1,1O,1O:1O,1O,,,3299,16.664982824813094,Cluster_003_145.xyz
1,2,0,1,1,1O,1O:1O,,1S,,1906,9.628207718731057,Cluster_034_148.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,1413,7.137805617296424,Cluster_099_115.xyz
2,1,0,1,1,1O:1O,1O,,1S,,960,4.8494645382905635,Cluster_032_109.xyz
1,3,0,0,1,1O,1O:1O:1O,,,,931,4.702970297029703,Cluster_080_177.xyz
2,1,1,0,1,1O:1O,1O,1O,,,912,4.606991311376036,Cluster_076_098.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,900,4.546373004647403,Cluster_031_027.xyz
1,2,0,0,1,1O,1O:1O,,,,867,4.379672661143665,Cluster_081_091.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,845,4.26853909880784,Cluster_008_156.xyz
0,2,0,1,1,,1O:1O,,1S,,692,3.495655688017781,Cluster_038_169.xyz
0,2,1,1,1,,1O:1O,1O,1S,,671,3.3895736512426753,Cluster_006_150.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,564,2.849060416245706,Cluster_051_037.xyz
1,1,1,1,1,1O,1O,1O,1S,,540,2.7278238027884423,Cluster_068_153.xyz
1,1,0,1,1,1O,1O,,1S,,456,2.303495655688018,Cluster_030_045.xyz
0,2,1,0,1,,1O:1O,1O,,,421,2.126692261062841,Cluster_054_076.xyz
0,3,0,0,1,,1O:1O:1O,,,,379,1.9145281875126288,Cluster_074_152.xyz
0,4,0,0,1,,1O:1O:1O:1O,,,,369,1.8640129319054355,Cluster_005_163.xyz
1,1,2,0,1,1O,1O,1O:1O,,,291,1.4699939381693272,Cluster_045_066.xyz
2,1,0,0,1,1O:1O,1O,,,,268,1.3538088502727823,Cluster_038_125.xyz
1,1,1,0,1,1O,1O,1O,,,198,1.0002020610224287,Cluster_079_031.xyz
0,1,1,1,1,,1O,1O,1S,,181,0.9143261264902001,Cluster_079_046.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,151,0.7627803596686199,Cluster_061_098.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,146,0.7375227318650233,Cluster_039_131.xyz
0,2,1,0,1,,1O:1O,2O,,,123,0.6213376439684785,Cluster_011_007.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,111,0.5607193372398465,Cluster_023_113.xyz
1,2,2,0,1,1O,1O:1O,1O:1O,,,106,0.5354617094362497,Cluster_077_043.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,102,0.5152556071933724,Cluster_010_075.xyz
0,1,0,1,1,,1O,,1S,,100,0.5051525560719338,Cluster_020_151.xyz
0,2,0,0,1,,1O:1O,,,,96,0.4849464538290564,Cluster_034_069.xyz
0,2,0,1,1,,1O:1O,,2S,,93,0.46979187714689835,Cluster_056_134.xyz
0,2,2,0,1,,1O:1O,1O:2O,,,87,0.43948272378258235,Cluster_039_024.xyz
0,1,0,1,1,,1O,,2S,,82,0.41422509597898566,Cluster_098_073.xyz
1,2,1,0,1,1O,1O:1O,2O,,,72,0.36370984037179227,Cluster_089_015.xyz
1,1,0,1,1,1O,1O,,2S,,63,0.31824611032531824,Cluster_013_073.xyz
0,3,2,0,1,,1O:1O:1O,1O:1O,,,57,0.28793695696100224,Cluster_096_149.xyz
1,1,0,0,1,1O,1O,,,,56,0.2828854314002829,Cluster_008_135.xyz
2,2,1,0,1,1O:1O,1O:1O,1O,,,53,0.26773085471812486,Cluster_000_145.xyz
2,0,1,1,1,1O:1O,,1O,1S,,52,0.26267932915740555,Cluster_093_181.xyz
1,1,1,0,1,1O,1O,2O,,,51,0.2576278035966862,Cluster_079_125.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,51,0.2576278035966862,Cluster_074_039.xyz
2,0,0,1,1,1O:1O,,,1S,,49,0.24752475247524752,Cluster_013_170.xyz
0,1,1,1,1,,1O,2O,1S,,45,0.2273186502323702,Cluster_048_151.xyz
0,1,3,0,1,,1O,1O:1O:1O,,,43,0.2172155991109315,Cluster_047_133.xyz
0,1,1,9,1,,1O,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,43,0.2172155991109315,Cluster_014_121.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,42,0.21216407355021216,Cluster_090_020.xyz
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,41,0.20711254798949283,Cluster_061_005.xyz
3,0,0,0,1,1O:1O:1O,,,,,35,0.1768033946251768,Cluster_070_075.xyz
0,3,1,0,1,,1O:1O:1O,2O,,,34,0.17175186906445747,Cluster_032_110.xyz
1,3,1,0,1,1O,1O:1O:1O,1O,,,33,0.16670034350373814,Cluster_088_061.xyz
0,1,2,0,1,,1O,1O:2O,,,31,0.15659729238229944,Cluster_050_042.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,30,0.1515457668215801,Cluster_062_021.xyz
0,1,1,1,1,,1O,1O,2S,,29,0.14649424126086077,Cluster_035_020.xyz
0,2,0,9,1,,1O:1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,26,0.13133966457870277,Cluster_024_071.xyz
0,1,2,0,1,,1O,1O:1O,,,25,0.12628813901798344,Cluster_062_137.xyz
0,1,2,1,1,,1O,1O:1O,1S,,24,0.1212366134572641,Cluster_015_143.xyz
1,0,2,1,1,1O,,1O:1O,1S,,24,0.1212366134572641,Cluster_070_089.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,22,0.11113356233582541,Cluster_011_066.xyz
2,1,1,0,1,1O:1O,1O,2O,,,21,0.10608203677510608,Cluster_036_002.xyz
1,0,0,1,1,1O,,,2S,,21,0.10608203677510608,Cluster_050_073.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,20,0.10103051121438675,Cluster_020_135.xyz
1,1,2,0,1,1O,1O,1O:2O,,,20,0.10103051121438675,Cluster_043_088.xyz
0,1,1,0,1,,1O,1O,,,19,0.0959789856536674,Cluster_076_121.xyz
0,4,1,0,1,,1O:1O:1O:1O,1O,,,18,0.09092746009294807,Cluster_049_138.xyz
2,0,1,0,1,1O:1O,,1O,,,18,0.09092746009294807,Cluster_091_181.xyz
1,0,1,1,1,1O,,1O,1S,,18,0.09092746009294807,Cluster_034_089.xyz
0,1,1,9,1,,1O,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,17,0.08587593453222873,Cluster_044_182.xyz
2,1,2,0,1,1O:1O,1O,1O:1O,,,16,0.0808244089715094,Cluster_091_133.xyz
3,1,1,0,1,1O:1O:1O,1O,1O,,,13,0.06566983228935139,Cluster_005_119.xyz
0,1,3,0,1,,1O,1O:1O:2O,,,12,0.06061830672863205,Cluster_036_133.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,12,0.06061830672863205,Cluster_026_182.xyz
0,2,1,1,1,,1O:1O,1O,2S,,12,0.06061830672863205,Cluster_077_193.xyz
1,0,0,1,1,1O,,,1S,,12,0.06061830672863205,Cluster_061_073.xyz
1,0,1,1,1,1O,,1O,2S,,12,0.06061830672863205,Cluster_024_089.xyz
0,3,0,1,1,,1O:1O:1O,,2S,,11,0.05556678116791271,Cluster_003_037.xyz
1,2,0,1,1,1O,1O:1O,,2S,,9,0.045463730046474034,Cluster_030_180.xyz
2,0,0,1,1,1O:1O,,,2S,,8,0.0404122044857547,Cluster_005_181.xyz
0,2,3,0,1,,1O:1O,1O:1O:1O,,,8,0.0404122044857547,Cluster_043_107.xyz
1,1,3,0,1,1O,1O,1O:1O:1O,,,7,0.03536067892503536,Cluster_048_022.xyz
