num_dol,num_dtfeg,num_tfsi,num_ps,num_li,atoms_dol,atoms_dtfeg,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,1,1,0,1,1O,2O,1O,,,2589,13.078399676702364,Cluster_065_078.xyz
1,1,0,1,1,1O,2O,,1S,,2554,12.901596282077188,Cluster_003_145.xyz
2,0,1,1,1,1O:1O,,1O,1S,,2253,11.381087088300667,Cluster_076_121.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,1341,6.774095776924631,Cluster_086_102.xyz
0,2,0,0,1,,2O:2O,,,,1234,6.233582541927662,Cluster_099_115.xyz
0,1,1,1,1,,2O,1O,1S,,1176,5.9405940594059405,Cluster_098_073.xyz
2,1,0,0,1,1O:1O,2O,,,,1168,5.900181854920186,Cluster_054_180.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1112,5.617296423519903,Cluster_092_169.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,1087,5.49100828450192,Cluster_068_052.xyz
1,0,2,1,1,1O,,1O:1O,1S,,375,1.8943220852697515,Cluster_009_035.xyz
0,1,2,0,1,,2O,1O:1O,,,361,1.8236007274196808,Cluster_013_187.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,204,1.0305112143867448,Cluster_052_024.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,181,0.9143261264902001,Cluster_035_147.xyz
2,0,0,1,1,1O:1O,,,1S,,174,0.8789654475651647,Cluster_068_183.xyz
2,0,0,1,1,1O:1O,,,2S,,168,0.8486562942008486,Cluster_050_077.xyz
1,1,2,0,1,1O,2O,1O:1O,,,162,0.8183471408365326,Cluster_068_153.xyz
2,0,1,1,1,1O:1O,,1O,2S,,149,0.7526773085471813,Cluster_062_127.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,141,0.7122651040614265,Cluster_043_023.xyz
1,1,1,0,1,1O,2O,2O,,,141,0.7122651040614265,Cluster_015_153.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,136,0.6870074762578299,Cluster_100_052.xyz
1,1,0,1,1,1O,2O,,2S,,130,0.6566983228935138,Cluster_081_091.xyz
1,0,1,1,1,1O,,1O,1S,,124,0.6263891695291978,Cluster_028_072.xyz
1,0,1,1,1,1O,,2O,1S,,119,0.6011315417256011,Cluster_032_027.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,105,0.5304101838755304,Cluster_088_040.xyz
1,0,1,1,1,1O,,1O,2S,,97,0.48999797938977574,Cluster_097_077.xyz
0,1,1,1,1,,2O,1O,2S,,94,0.4748434027076177,Cluster_056_134.xyz
0,1,2,0,1,,2O,1O:2O,,,94,0.4748434027076177,Cluster_030_026.xyz
2,1,1,0,1,1O:1O,2O,1O,,,80,0.404122044857547,Cluster_048_151.xyz
0,1,0,9,1,,2O,,:::::1S:1S:1S:1S,,80,0.404122044857547,Cluster_049_118.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,78,0.3940189937361083,Cluster_072_132.xyz
2,0,1,0,1,1O:1O,,2O,,,77,0.38896746817538896,Cluster_080_021.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,73,0.36876136593251163,Cluster_079_132.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,71,0.35865831481107296,Cluster_040_129.xyz
1,0,2,0,1,1O,,1O:2O,,,70,0.3536067892503536,Cluster_002_024.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,68,0.34350373812891494,Cluster_038_185.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,68,0.34350373812891494,Cluster_002_161.xyz
1,0,0,1,1,1O,,,2S,,61,0.3081430592038796,Cluster_077_043.xyz
0,1,0,1,1,,2O,,1S,,60,0.3030915336431602,Cluster_053_029.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,59,0.2980400080824409,Cluster_042_161.xyz
2,0,1,0,1,1O:1O,,1O,,,56,0.2828854314002829,Cluster_039_062.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,55,0.2778339058395635,Cluster_075_166.xyz
0,1,0,1,1,,2O,,2S,,55,0.2778339058395635,Cluster_000_157.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,50,0.2525762780359669,Cluster_091_166.xyz
1,0,2,1,1,1O,,1O:1O,2S,,47,0.23742170135380886,Cluster_008_156.xyz
0,2,1,0,1,,2O:2O,1O,,,46,0.23237017579308952,Cluster_040_059.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,42,0.21216407355021216,Cluster_097_191.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,40,0.2020610224287735,Cluster_037_117.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,39,0.19700949686805416,Cluster_041_071.xyz
1,1,0,1,1,1O,1O,,1S,,38,0.1919579713073348,Cluster_008_145.xyz
0,2,1,0,1,,1O:2O,1O,,,35,0.1768033946251768,Cluster_073_124.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,32,0.1616488179430188,Cluster_069_119.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,31,0.15659729238229944,Cluster_012_040.xyz
2,0,0,1,1,1O:1O,,,3S,,31,0.15659729238229944,Cluster_066_138.xyz
1,1,1,1,1,1O,1O,1O,1S,,30,0.1515457668215801,Cluster_056_159.xyz
1,1,0,0,1,1O,2O,,,,29,0.14649424126086077,Cluster_033_140.xyz
2,1,1,0,1,1O:1O,1O,1O,,,29,0.14649424126086077,Cluster_044_181.xyz
1,1,2,0,1,1O,1O,1O:1O,,,28,0.14144271570014144,Cluster_023_143.xyz
1,0,1,1,1,1O,,1O,3S,,26,0.13133966457870277,Cluster_058_116.xyz
0,1,0,1,1,,2O,,3S,,25,0.12628813901798344,Cluster_017_152.xyz
1,0,2,0,1,1O,,1O:1O,,,25,0.12628813901798344,Cluster_067_164.xyz
3,0,0,0,1,1O:1O:1O,,,,,23,0.11618508789654476,Cluster_064_094.xyz
1,0,1,1,1,1O,,2O,2S,,22,0.11113356233582541,Cluster_011_077.xyz
0,1,1,0,1,,2O,1O,,,21,0.10608203677510608,Cluster_099_126.xyz
0,1,1,0,1,,2O,2O,,,20,0.10103051121438675,Cluster_042_176.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,17,0.08587593453222873,Cluster_028_089.xyz
0,2,0,1,1,,:2O,,1S,,16,0.0808244089715094,Cluster_004_177.xyz
