num_dol,num_eee,num_tfsi,num_ps,num_li,atoms_dol,atoms_eee,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,2,0,0,1,,2O:2O,,,,4740,23.944231157809657,Cluster_013_187.xyz
1,1,0,1,1,1O,2O,,1S,,3827,19.332188320872902,Cluster_092_169.xyz
1,1,1,0,1,1O,2O,1O,,,2176,10.992119620125278,Cluster_054_076.xyz
2,1,0,0,1,1O:1O,2O,,,,1936,9.779753485552638,Cluster_003_145.xyz
0,1,0,1,1,,3O,,1S,,940,4.748434027076177,Cluster_065_078.xyz
1,1,1,0,1,1O,3O,1O,,,862,4.354415033340069,Cluster_034_148.xyz
0,1,1,1,1,,2O,1O,1S,,530,2.6773085471812488,Cluster_093_181.xyz
1,1,0,0,1,1O,3O,,,,483,2.43988684582744,Cluster_051_037.xyz
2,0,1,1,1,1O:1O,,1O,1S,,374,1.8892705597090322,Cluster_064_126.xyz
2,1,0,0,1,1O:1O,3O,,,,325,1.6417458072337845,Cluster_009_035.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,324,1.6366942816730652,Cluster_041_126.xyz
0,1,2,0,1,,3O,1O:1O,,,283,1.4295817336835723,Cluster_001_011.xyz
0,2,0,0,1,,2O:3O,,,,256,1.2931905435441504,Cluster_079_035.xyz
1,1,0,0,1,1O,2O,,,,252,1.272984441301273,Cluster_087_107.xyz
0,1,1,0,1,,3O,1O,,,244,1.2325722368155183,Cluster_002_003.xyz
0,1,0,1,1,,2O,,1S,,179,0.9042230753687613,Cluster_079_031.xyz
0,1,2,0,1,,2O,1O:1O,,,178,0.899171549808042,Cluster_051_147.xyz
1,1,0,1,1,1O,1O,,1S,,132,0.6668013740149525,Cluster_053_154.xyz
1,1,0,1,1,1O,3O,,1S,,119,0.6011315417256011,Cluster_100_052.xyz
0,2,0,0,1,,1O:2O,,,,105,0.5304101838755304,Cluster_017_152.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,100,0.5051525560719338,Cluster_028_156.xyz
2,0,0,1,1,1O:1O,,,1S,,98,0.49504950495049505,Cluster_019_019.xyz
1,0,0,1,1,1O,,,2S,,98,0.49504950495049505,Cluster_014_106.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,88,0.44453424934330166,Cluster_005_136.xyz
1,1,0,1,1,1O,2O,,2S,,70,0.3536067892503536,Cluster_060_083.xyz
0,1,1,1,1,,3O,1O,1S,,66,0.33340068700747627,Cluster_020_103.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,62,0.3131945847645989,Cluster_000_055.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,56,0.2828854314002829,Cluster_047_096.xyz
2,0,0,1,1,1O:1O,,,2S,,52,0.26267932915740555,Cluster_018_019.xyz
0,1,1,0,1,,2O,1O,,,52,0.26267932915740555,Cluster_013_195.xyz
1,2,0,0,1,1O,1O:2O,,,,47,0.23742170135380886,Cluster_019_066.xyz
0,1,0,1,1,,2O,,2S,,37,0.18690644574661547,Cluster_022_080.xyz
1,0,0,1,1,1O,,,3S,,36,0.18185492018589614,Cluster_034_022.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,35,0.1768033946251768,Cluster_009_096.xyz
2,1,0,0,1,1O:1O,1O,,,,35,0.1768033946251768,Cluster_057_124.xyz
1,0,1,1,1,1O,,1O,1S,,31,0.15659729238229944,Cluster_064_193.xyz
0,1,0,1,1,,3O,,2S,,29,0.14649424126086077,Cluster_038_185.xyz
1,1,1,0,1,1O,1O,1O,,,27,0.1363911901394221,Cluster_069_116.xyz
0,2,0,1,1,,1O:2O,,1S,,26,0.13133966457870277,Cluster_062_133.xyz
0,1,1,1,1,,2O,1O,2S,,26,0.13133966457870277,Cluster_056_185.xyz
0,1,0,0,1,,3O,,,,24,0.1212366134572641,Cluster_090_070.xyz
1,0,1,1,1,1O,,1O,2S,,24,0.1212366134572641,Cluster_034_106.xyz
1,0,0,1,1,1O,,,1S,,22,0.11113356233582541,Cluster_002_096.xyz
0,2,1,0,1,,1O:2O,1O,,,20,0.10103051121438675,Cluster_025_035.xyz
1,1,1,0,1,1O,2O,2O,,,19,0.0959789856536674,Cluster_038_016.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,18,0.09092746009294807,Cluster_099_115.xyz
1,0,1,1,1,1O,,2O,1S,,16,0.0808244089715094,Cluster_076_193.xyz
3,0,0,0,1,1O:1O:1O,,,,,16,0.0808244089715094,Cluster_035_019.xyz
0,1,1,1,1,,1O,1O,1S,,16,0.0808244089715094,Cluster_030_160.xyz
2,0,1,0,1,1O:1O,,1O,,,16,0.0808244089715094,Cluster_067_090.xyz
0,1,1,0,1,,3O,2O,,,13,0.06566983228935139,Cluster_095_183.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,13,0.06566983228935139,Cluster_023_156.xyz
0,1,1,0,1,,2O,2O,,,11,0.05556678116791271,Cluster_023_035.xyz
1,1,1,1,1,1O,1O,1O,1S,,10,0.050515255607193374,Cluster_070_000.xyz
2,0,1,1,1,1O:1O,,1O,2S,,9,0.045463730046474034,Cluster_060_092.xyz
0,1,0,0,1,,2O,,,,8,0.0404122044857547,Cluster_086_185.xyz
