num_dol,num_eips,num_tfsi,num_ps,num_li,atoms_dol,atoms_eips,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,3,0,0,1,1O,1O:1O:1O,,,,4736,23.92402505556678,Cluster_003_145.xyz
0,4,0,0,1,,1O:1O:1O:1O,,,,4303,21.73671448777531,Cluster_065_078.xyz
1,2,0,1,1,1O,1O:1O,,1S,,2181,11.017377247928875,Cluster_092_169.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,2095,10.582946049707012,Cluster_098_073.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,1845,9.320064659527176,Cluster_081_091.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,723,3.652252980400081,Cluster_008_156.xyz
1,2,1,0,1,1O,1O:1O,1O,,,710,3.5865831481107295,Cluster_076_121.xyz
0,3,0,0,1,,1O:1O:1O,,,,672,3.3946251768033946,Cluster_054_078.xyz
0,2,0,1,1,,1O:1O,,1S,,391,1.9751464942412609,Cluster_050_077.xyz
0,2,1,1,1,,1O:1O,1O,1S,,379,1.9145281875126288,Cluster_051_037.xyz
2,1,0,1,1,1O:1O,1O,,1S,,366,1.8488583552232773,Cluster_099_115.xyz
1,2,0,0,1,1O,1O:1O,,,,318,1.6063851283087491,Cluster_042_107.xyz
1,1,1,1,1,1O,1O,1O,1S,,111,0.5607193372398465,Cluster_010_150.xyz
1,1,0,1,1,1O,1O,,1S,,91,0.4596888260254597,Cluster_002_024.xyz
0,2,0,9,1,,1O:1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,86,0.434431198221863,Cluster_052_115.xyz
0,2,0,1,1,,1O:1O,,2S,,83,0.41927662153970496,Cluster_008_107.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,71,0.35865831481107296,Cluster_048_151.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,68,0.34350373812891494,Cluster_024_094.xyz
0,2,1,0,1,,1O:1O,1O,,,66,0.33340068700747627,Cluster_076_141.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,51,0.2576278035966862,Cluster_055_013.xyz
2,1,0,0,1,1O:1O,1O,,,,37,0.18690644574661547,Cluster_068_183.xyz
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,31,0.15659729238229944,Cluster_039_024.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,28,0.14144271570014144,Cluster_082_013.xyz
0,2,0,0,1,,1O:1O,,,,27,0.1363911901394221,Cluster_085_173.xyz
1,3,1,0,1,1O,1O:1O:1O,1O,,,24,0.1212366134572641,Cluster_033_019.xyz
1,2,0,1,1,1O,1O:1O,,2S,,24,0.1212366134572641,Cluster_001_152.xyz
2,0,1,1,1,1O:1O,,1O,1S,,22,0.11113356233582541,Cluster_041_013.xyz
0,3,1,0,1,,1O:1O:1O,2O,,,21,0.10608203677510608,Cluster_032_114.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,21,0.10608203677510608,Cluster_052_094.xyz
