num_dol,num_ems,num_tfsi,num_ps,num_li,atoms_dol,atoms_ems,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,4,0,0,1,,1O:1O:1O:1O,,,,8976,45.34249343301677,Cluster_003_145.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,3361,16.978177409577693,Cluster_034_148.xyz
1,3,0,0,1,1O,1O:1O:1O,,,,3289,16.6144675692059,Cluster_092_169.xyz
0,3,0,0,1,,1O:1O:1O,,,,1140,5.758739139220045,Cluster_068_052.xyz
3,3,1,0,1,1O:1O:1O,1O:1O:1O,1O,,,878,4.435239442311578,Cluster_065_078.xyz
3,2,0,1,1,1O:1O:1O,1O:1O,,1S,,657,3.3188522933926046,Cluster_062_127.xyz
2,2,0,1,1,1O:1O,1O:1O,,1S,,263,1.3285512224691858,Cluster_050_073.xyz
2,2,1,1,1,1O:1O,1O:1O,1O,1S,,183,0.9244291776116387,Cluster_079_031.xyz
3,2,0,0,1,1O:1O:1O,1O:1O,,,,170,0.8587593453222874,Cluster_094_032.xyz
4,2,0,0,1,1O:1O:1O:1O,1O:1O,,,,168,0.8486562942008486,Cluster_014_172.xyz
3,2,1,0,1,1O:1O:1O,1O:1O,1O,,,139,0.7021620529399879,Cluster_084_051.xyz
2,2,0,9,1,1O:1O,1O:1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,59,0.2980400080824409,Cluster_021_010.xyz
5,4,0,0,1,1O:1O:1O:1O:1O,1O:1O:1O:1O,,,,54,0.2727823802788442,Cluster_085_178.xyz
4,4,1,0,1,1O:1O:1O:1O,1O:1O:1O:1O,1O,,,42,0.21216407355021216,Cluster_001_011.xyz
2,2,1,0,1,1O:1O,1O:1O,1O,,,40,0.2020610224287735,Cluster_061_122.xyz
5,5,0,0,1,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,,,,38,0.1919579713073348,Cluster_039_142.xyz
2,1,1,1,1,1O:1O,1O,1O,1S,,33,0.16670034350373814,Cluster_039_062.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,32,0.1616488179430188,Cluster_039_024.xyz
2,1,0,1,1,1O:1O,1O,,1S,,30,0.1515457668215801,Cluster_012_010.xyz
4,3,1,0,1,1O:1O:1O:1O,1O:1O:1O,1O,,,30,0.1515457668215801,Cluster_008_047.xyz
