num_dol,num_epe,num_tfsi,num_ps,num_li,atoms_dol,atoms_epe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,3648,18.427965245504144,Cluster_003_145.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2105,10.633461305314205,Cluster_092_169.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,1899,9.59284703980602,Cluster_054_180.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1624,8.203677510608204,Cluster_065_078.xyz
1,1,2,0,1,1O,1O,1O:1O,,,1041,5.25863810870883,Cluster_050_073.xyz
1,0,2,1,1,1O,,1O:1O,1S,,984,4.970701151747828,Cluster_037_017.xyz
2,1,1,0,1,1O:1O,1O,1O,,,717,3.6219438270357647,Cluster_077_043.xyz
2,0,0,1,1,1O:1O,,,1S,,618,3.1218427965245503,Cluster_054_076.xyz
1,1,1,1,1,1O,1O,1O,1S,,406,2.050919377652051,Cluster_034_148.xyz
2,0,1,0,1,1O:1O,,1O,,,370,1.8690644574661548,Cluster_033_019.xyz
1,0,1,1,1,1O,,1O,1S,,360,1.8185492018589615,Cluster_080_177.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,345,1.7427763184481713,Cluster_051_147.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,326,1.646797332794504,Cluster_062_127.xyz
1,1,0,1,1,1O,1O,,1S,,285,1.4396847848050112,Cluster_081_034.xyz
2,0,0,1,1,1O:1O,,,2S,,227,1.1466963022832894,Cluster_032_107.xyz
0,1,3,0,1,,1O,1O:1O:1O,,,209,1.0557688421903415,Cluster_054_042.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,194,0.9799959587795515,Cluster_010_144.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,181,0.9143261264902001,Cluster_029_072.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,177,0.8941200242473227,Cluster_030_160.xyz
1,1,1,0,1,1O,1O,1O,,,176,0.8890684986866033,Cluster_041_180.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,174,0.8789654475651647,Cluster_020_103.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,170,0.8587593453222874,Cluster_003_070.xyz
1,0,1,1,1,1O,,2O,1S,,159,0.8031925641543746,Cluster_078_143.xyz
2,0,1,0,1,1O:1O,,2O,,,150,0.7577288341079006,Cluster_031_072.xyz
3,0,0,0,1,1O:1O:1O,,,,,145,0.7324712063043038,Cluster_032_027.xyz
1,0,1,1,1,1O,,1O,2S,,133,0.6718528995756718,Cluster_087_182.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,130,0.6566983228935138,Cluster_063_152.xyz
2,1,0,1,1,1O:1O,1O,,1S,,129,0.6516467973327945,Cluster_039_034.xyz
1,0,0,1,1,1O,,,2S,,126,0.6364922206506365,Cluster_004_046.xyz
1,0,2,0,1,1O,,1O:2O,,,125,0.6314406950899172,Cluster_082_004.xyz
0,1,2,0,1,,1O,1O:2O,,,121,0.6112345928470398,Cluster_008_156.xyz
2,0,1,1,1,1O:1O,,1O,2S,,117,0.5910284906041624,Cluster_048_098.xyz
1,1,1,0,1,1O,1O,2O,,,110,0.555667811679127,Cluster_030_129.xyz
1,0,2,0,1,1O,,1O:1O,,,107,0.5405132349969691,Cluster_013_187.xyz
0,1,1,1,1,,1O,1O,1S,,104,0.5253586583148111,Cluster_081_091.xyz
1,1,2,0,1,1O,1O,1O:2O,,,79,0.39907051929682763,Cluster_034_140.xyz
0,1,2,1,1,,1O,1O:1O,1S,,77,0.38896746817538896,Cluster_004_017.xyz
1,1,0,1,1,1O,1O,,2S,,74,0.37381289149323094,Cluster_068_051.xyz
0,1,2,0,1,,1O,1O:1O,,,70,0.3536067892503536,Cluster_037_175.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,69,0.34855526368963424,Cluster_081_179.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,62,0.3131945847645989,Cluster_005_163.xyz
1,0,2,1,1,1O,,1O:1O,2S,,55,0.2778339058395635,Cluster_077_064.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,55,0.2778339058395635,Cluster_005_139.xyz
