num_dol,num_etfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_etfe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,4328,21.863002626793293,Cluster_092_169.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2317,11.704384724186705,Cluster_054_076.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,2068,10.44655485956759,Cluster_081_091.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1722,8.698727015558699,Cluster_034_148.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,1646,8.314811072944028,Cluster_054_180.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,721,3.6421499292786423,Cluster_100_052.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,629,3.177409577692463,Cluster_058_116.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,561,2.833905839563548,Cluster_099_115.xyz
2,0,1,1,1,1O:1O,,1O,2S,,559,2.8238027884421095,Cluster_003_145.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,423,2.1367953121842795,Cluster_033_051.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,368,1.8589614063447162,Cluster_003_014.xyz
1,0,2,1,1,1O,,1O:1O,2S,,317,1.6013336027480298,Cluster_079_046.xyz
1,0,1,1,1,1O,,2O,1S,,185,0.9345322287330774,Cluster_086_102.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,183,0.9244291776116387,Cluster_058_035.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,179,0.9042230753687613,Cluster_052_024.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,152,0.7678318852293392,Cluster_001_002.xyz
2,0,0,1,1,1O:1O,,,2S,,148,0.7476257829864619,Cluster_086_183.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,147,0.7425742574257426,Cluster_031_141.xyz
1,0,1,1,1,1O,,1O,2S,,136,0.6870074762578299,Cluster_069_001.xyz
2,0,0,1,1,1O:1O,,,1S,,133,0.6718528995756718,Cluster_044_098.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,133,0.6718528995756718,Cluster_090_070.xyz
2,0,1,0,1,1O:1O,,2O,,,129,0.6516467973327945,Cluster_068_006.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,127,0.6415437462113558,Cluster_098_073.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,126,0.6364922206506365,Cluster_001_045.xyz
1,0,1,1,1,1O,,1O,1S,,125,0.6314406950899172,Cluster_081_034.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,110,0.555667811679127,Cluster_068_052.xyz
1,0,2,0,1,1O,,1O:2O,,,105,0.5304101838755304,Cluster_064_156.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,101,0.5102040816326531,Cluster_089_015.xyz
