num_dol,num_ettfpe,num_tfsi,num_ps,num_li,atoms_dol,atoms_ettfpe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,3873,19.564558496665992,Cluster_034_148.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2758,13.932107496463932,Cluster_099_115.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,2564,12.952111537684381,Cluster_076_121.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,2050,10.355627399474642,Cluster_054_076.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1218,6.152758132956153,Cluster_025_050.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,620,3.131945847645989,Cluster_020_085.xyz
2,0,0,1,1,1O:1O,,,1S,,553,2.7934936350777937,Cluster_054_180.xyz
1,0,1,1,1,1O,,1O,1S,,411,2.0761770054556474,Cluster_001_011.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,378,1.9094766619519095,Cluster_065_023.xyz
2,0,1,0,1,1O:1O,,1O,,,370,1.8690644574661548,Cluster_003_145.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,324,1.6366942816730652,Cluster_065_078.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,292,1.4750454637300465,Cluster_017_152.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,254,1.2830874924227116,Cluster_086_183.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,220,1.111335623358254,Cluster_051_037.xyz
1,0,1,1,1,1O,,2O,1S,,218,1.1012325722368155,Cluster_044_098.xyz
2,0,1,0,1,1O:1O,,2O,,,197,0.9951505354617094,Cluster_074_152.xyz
1,0,2,0,1,1O,,1O:2O,,,192,0.9698929076581128,Cluster_078_058.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,179,0.9042230753687613,Cluster_003_070.xyz
1,0,1,1,1,1O,,1O,2S,,169,0.853707819761568,Cluster_006_150.xyz
2,0,0,1,1,1O:1O,,,2S,,165,0.8335017175186906,Cluster_092_169.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,160,0.808244089715094,Cluster_029_015.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,154,0.7779349363507779,Cluster_009_035.xyz
3,0,0,0,1,1O:1O:1O,,,,,147,0.7425742574257426,Cluster_077_043.xyz
1,0,2,0,1,1O,,1O:1O,,,132,0.6668013740149525,Cluster_011_143.xyz
2,0,1,1,1,1O:1O,,1O,2S,,121,0.6112345928470398,Cluster_000_145.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,118,0.5960800161648818,Cluster_008_107.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,114,0.5758739139220045,Cluster_022_157.xyz
2,1,1,0,1,1O:1O,1O,1O,,,102,0.5152556071933724,Cluster_086_084.xyz
1,0,0,1,1,1O,,,2S,,75,0.3788644170539503,Cluster_100_052.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,73,0.36876136593251163,Cluster_043_163.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,71,0.35865831481107296,Cluster_043_085.xyz
1,1,2,0,1,1O,1O,1O:1O,,,64,0.3232976358860376,Cluster_073_077.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,63,0.31824611032531824,Cluster_076_098.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,63,0.31824611032531824,Cluster_048_151.xyz
1,0,2,1,1,1O,,1O:1O,2S,,63,0.31824611032531824,Cluster_008_156.xyz
