num_dol,num_fde,num_tfsi,num_ps,num_li,atoms_dol,atoms_fde,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,3490,17.629824206910488,Cluster_092_169.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2986,15.08385532430794,Cluster_034_148.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,1892,9.557486360880986,Cluster_068_052.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1221,6.167912709638311,Cluster_001_011.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1144,5.778945241462922,Cluster_051_037.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,868,4.384724186704385,Cluster_099_115.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,804,4.061426550818347,Cluster_074_152.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,614,3.101636694281673,Cluster_011_066.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,517,2.6116387148918974,Cluster_082_128.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,507,2.561123459284704,Cluster_065_078.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,450,2.2731865023237017,Cluster_060_044.xyz
2,0,1,1,1,1O:1O,,1O,2S,,375,1.8943220852697515,Cluster_003_070.xyz
2,0,0,1,1,1O:1O,,,2S,,260,1.3133966457870276,Cluster_079_031.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,225,1.1365932511618508,Cluster_068_183.xyz
1,0,1,1,1,1O,,1O,2S,,221,1.1163871489189736,Cluster_050_073.xyz
2,0,0,1,1,1O:1O,,,1S,,202,1.0204081632653061,Cluster_029_015.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,199,1.005253586583148,Cluster_041_074.xyz
1,0,1,1,1,1O,,2O,1S,,193,0.9749444332188321,Cluster_003_145.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,185,0.9345322287330774,Cluster_052_024.xyz
1,0,1,1,1,1O,,1O,1S,,184,0.9294807031723581,Cluster_020_085.xyz
1,0,2,1,1,1O,,1O:1O,2S,,175,0.884016973125884,Cluster_041_085.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,175,0.884016973125884,Cluster_062_127.xyz
1,0,2,0,1,1O,,1O:2O,,,166,0.8385532430794099,Cluster_001_085.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,162,0.8183471408365326,Cluster_094_032.xyz
2,0,1,0,1,1O:1O,,2O,,,139,0.7021620529399879,Cluster_009_035.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,128,0.6465952717720752,Cluster_047_192.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,127,0.6415437462113558,Cluster_081_091.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,108,0.5455647605576884,Cluster_019_066.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,103,0.5203071327540917,Cluster_093_181.xyz
1,0,1,1,1,1O,,1O,3S,,93,0.46979187714689835,Cluster_054_076.xyz
2,0,1,0,1,1O:1O,,1O,,,85,0.4293796726611437,Cluster_027_108.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,82,0.41422509597898566,Cluster_074_053.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,81,0.4091735704182663,Cluster_005_163.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,69,0.34855526368963424,Cluster_050_165.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,66,0.33340068700747627,Cluster_072_182.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,62,0.3131945847645989,Cluster_084_051.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,60,0.3030915336431602,Cluster_012_068.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,60,0.3030915336431602,Cluster_047_043.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,58,0.29298848252172155,Cluster_008_135.xyz
1,0,1,1,1,1O,,2O,2S,,55,0.2778339058395635,Cluster_066_016.xyz
2,0,0,1,1,1O:1O,,,3S,,47,0.23742170135380886,Cluster_039_080.xyz
1,0,2,0,1,1O,,2O:2O,,,46,0.23237017579308952,Cluster_014_149.xyz
0,0,3,0,1,,,1O:1O:2O,,,44,0.22226712467165083,Cluster_021_142.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,44,0.22226712467165083,Cluster_005_032.xyz
1,0,0,1,1,1O,,,2S,,44,0.22226712467165083,Cluster_051_018.xyz
0,0,2,1,1,,,1O:2O,1S,,41,0.20711254798949283,Cluster_043_096.xyz
0,0,4,0,1,,,1O:1O:1O:1O,,,40,0.2020610224287735,Cluster_022_067.xyz
1,0,2,1,1,1O,,1O:2O,1S,,40,0.2020610224287735,Cluster_059_177.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,36,0.18185492018589614,Cluster_087_072.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,33,0.16670034350373814,Cluster_038_006.xyz
0,0,3,1,1,,,1O:1O:2O,1S,,27,0.1363911901394221,Cluster_016_096.xyz
3,0,0,0,1,1O:1O:1O,,,,,26,0.13133966457870277,Cluster_008_107.xyz
2,0,1,1,1,1O:1O,,2O,1S,,25,0.12628813901798344,Cluster_003_016.xyz
1,0,2,0,1,1O,,1O:1O,,,25,0.12628813901798344,Cluster_037_188.xyz
1,0,4,0,1,1O,,1O:1O:1O:2O,,,21,0.10608203677510608,Cluster_083_189.xyz
3,0,2,0,1,1O:1O:1O,,1O:2O,,,21,0.10608203677510608,Cluster_077_043.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,21,0.10608203677510608,Cluster_001_125.xyz
1,0,0,1,1,1O,,,3S,,20,0.10103051121438675,Cluster_061_073.xyz
1,0,3,1,1,1O,,1O:1O:1O,1S,,20,0.10103051121438675,Cluster_005_119.xyz
0,0,5,0,1,,,1O:1O:1O:1O:1O,,,19,0.0959789856536674,Cluster_046_067.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,19,0.0959789856536674,Cluster_029_109.xyz
0,0,3,0,1,,,1O:2O:2O,,,19,0.0959789856536674,Cluster_027_142.xyz
0,0,5,0,1,,,:1O:1O:1O:1O,,,18,0.09092746009294807,Cluster_095_067.xyz
1,0,0,17,1,1O,,,:::::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S,,17,0.08587593453222873,Cluster_090_006.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,17,0.08587593453222873,Cluster_082_004.xyz
0,0,2,1,1,,,1O:1O,1S,,16,0.0808244089715094,Cluster_067_123.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,15,0.07577288341079005,Cluster_065_141.xyz
0,0,4,0,1,,,1O:1O:1O:2O,,,13,0.06566983228935139,Cluster_006_067.xyz
0,0,2,1,1,,,1O:1O,2S,,12,0.06061830672863205,Cluster_066_123.xyz
