num_dol,num_g3,num_tfsi,num_ps,num_li,atoms_dol,atoms_g3,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,1,0,0,1,1O,4O,,,,4904,24.77268134976763,Cluster_051_037.xyz
1,1,0,1,1,1O,2O,,1S,,2087,10.542533845221257,Cluster_076_121.xyz
0,2,0,0,1,,2O:2O,,,,2076,10.486967064053344,Cluster_003_145.xyz
0,1,0,1,1,,4O,,1S,,1843,9.309961608405738,Cluster_098_073.xyz
0,1,1,0,1,,4O,1O,,,1534,7.7490402101434634,Cluster_034_148.xyz
0,1,0,1,1,,3O,,1S,,1244,6.284097797534855,Cluster_008_156.xyz
0,2,0,0,1,,2O:3O,,,,1137,5.743584562537887,Cluster_092_169.xyz
1,1,0,0,1,1O,3O,,,,913,4.612042836936755,Cluster_079_031.xyz
2,1,0,0,1,1O:1O,2O,,,,477,2.409577692463124,Cluster_054_180.xyz
1,1,0,1,1,1O,3O,,1S,,373,1.8842190341483127,Cluster_036_045.xyz
0,2,0,0,1,,1O:4O,,,,264,1.333602748029905,Cluster_009_179.xyz
0,1,1,1,1,,2O,1O,1S,,260,1.3133966457870276,Cluster_064_126.xyz
1,1,1,0,1,1O,3O,1O,,,249,1.257829864619115,Cluster_031_027.xyz
2,1,0,0,1,1O:1O,3O,,,,247,1.2477268134976762,Cluster_081_091.xyz
0,1,0,0,1,,4O,,,,238,1.2022630834512023,Cluster_054_076.xyz
0,1,1,0,1,,3O,1O,,,234,1.1820569812083248,Cluster_003_070.xyz
1,1,1,0,1,1O,2O,1O,,,211,1.0658718933117801,Cluster_065_078.xyz
0,2,0,0,1,,3O:3O,,,,121,0.6112345928470398,Cluster_013_061.xyz
0,2,0,1,1,,1O:2O,,1S,,108,0.5455647605576884,Cluster_046_067.xyz
0,2,0,0,1,,1O:3O,,,,107,0.5405132349969691,Cluster_014_106.xyz
1,1,0,1,1,1O,2O,,2S,,87,0.43948272378258235,Cluster_003_007.xyz
0,1,0,1,1,,3O,,2S,,87,0.43948272378258235,Cluster_078_143.xyz
0,1,0,1,1,,2O,,1S,,86,0.434431198221863,Cluster_068_114.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,71,0.35865831481107296,Cluster_028_130.xyz
0,1,1,1,1,,3O,1O,1S,,66,0.33340068700747627,Cluster_050_077.xyz
1,1,1,0,1,1O,4O,1O,,,50,0.2525762780359669,Cluster_052_101.xyz
0,1,0,1,1,,4O,,2S,,47,0.23742170135380886,Cluster_073_124.xyz
1,1,0,0,1,1O,2O,,,,38,0.1919579713073348,Cluster_020_049.xyz
0,1,0,9,1,,2O,,:::::1S:1S:1S:1S,,38,0.1919579713073348,Cluster_035_147.xyz
0,1,0,1,1,,2O,,2S,,37,0.18690644574661547,Cluster_072_130.xyz
0,1,2,0,1,,3O,1O:1O,,,35,0.1768033946251768,Cluster_005_182.xyz
0,1,2,0,1,,4O,1O:1O,,,33,0.16670034350373814,Cluster_038_185.xyz
1,1,0,1,1,1O,1O,,1S,,30,0.1515457668215801,Cluster_076_141.xyz
1,2,0,0,1,1O,1O:2O,,,,29,0.14649424126086077,Cluster_071_131.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,27,0.1363911901394221,Cluster_082_128.xyz
0,2,0,0,1,,1O:2O,,,,25,0.12628813901798344,Cluster_033_019.xyz
2,1,0,0,1,1O:1O,4O,,,,22,0.11113356233582541,Cluster_078_016.xyz
0,1,0,0,1,,3O,,,,19,0.0959789856536674,Cluster_022_080.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,16,0.0808244089715094,Cluster_043_128.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,16,0.0808244089715094,Cluster_013_130.xyz
0,1,1,1,1,,2O,1O,2S,,15,0.07577288341079005,Cluster_056_126.xyz
0,1,2,0,1,,2O,1O:1O,,,14,0.07072135785007072,Cluster_094_078.xyz
0,2,1,0,1,,1O:2O,1O,,,13,0.06566983228935139,Cluster_007_026.xyz
0,1,1,0,1,,4O,2O,,,13,0.06566983228935139,Cluster_043_195.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,12,0.06061830672863205,Cluster_063_128.xyz
0,2,1,0,1,,1O:3O,1O,,,9,0.045463730046474034,Cluster_028_084.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,9,0.045463730046474034,Cluster_020_128.xyz
1,2,0,0,1,1O,2O:2O,,,,8,0.0404122044857547,Cluster_005_042.xyz
0,2,0,0,1,,2O:4O,,,,8,0.0404122044857547,Cluster_042_179.xyz
0,1,1,0,1,,2O,1O,,,8,0.0404122044857547,Cluster_042_065.xyz
