num_dol,num_hfme,num_tfsi,num_ps,num_li,atoms_dol,atoms_hfme,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,3960,20.004041220448574,Cluster_034_148.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,3117,15.745605172762174,Cluster_054_180.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,1958,9.890887047888462,Cluster_001_011.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1893,9.562537886441705,Cluster_086_102.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1404,7.092341887249949,Cluster_092_169.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,679,3.42998585572843,Cluster_042_107.xyz
2,0,0,1,1,1O:1O,,,1S,,643,3.248130935542534,Cluster_030_045.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,547,2.7631844817134774,Cluster_013_187.xyz
1,0,1,1,1,1O,,1O,1S,,499,2.5207112547989494,Cluster_098_073.xyz
2,0,1,0,1,1O:1O,,1O,,,440,2.222671246716508,Cluster_008_086.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,399,2.0155586987270158,Cluster_010_150.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,306,1.5457668215801172,Cluster_076_121.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,294,1.4851485148514851,Cluster_054_076.xyz
1,0,1,1,1,1O,,2O,1S,,269,1.3588603758335016,Cluster_051_147.xyz
1,0,2,0,1,1O,,1O:2O,,,234,1.1820569812083248,Cluster_074_152.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,211,1.0658718933117801,Cluster_003_145.xyz
2,0,1,0,1,1O:1O,,2O,,,210,1.0608203677510608,Cluster_086_183.xyz
1,0,2,0,1,1O,,1O:1O,,,192,0.9698929076581128,Cluster_040_129.xyz
3,0,0,0,1,1O:1O:1O,,,,,174,0.8789654475651647,Cluster_015_058.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,169,0.853707819761568,Cluster_010_075.xyz
