num_dol,num_hme,num_tfsi,num_ps,num_li,atoms_dol,atoms_hme,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,3055,15.432410587997575,Cluster_003_145.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1712,8.648211759951506,Cluster_065_078.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,1354,6.839765609213982,Cluster_009_035.xyz
2,1,1,0,1,1O:1O,1O,1O,,,1308,6.607395433420893,Cluster_098_073.xyz
1,1,2,0,1,1O,1O,1O:1O,,,1304,6.587189331178016,Cluster_034_148.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,1275,6.440695089917155,Cluster_008_156.xyz
1,1,1,1,1,1O,1O,1O,1S,,1048,5.293998787633865,Cluster_031_027.xyz
1,0,2,1,1,1O,,1O:1O,1S,,657,3.3188522933926046,Cluster_099_115.xyz
2,1,0,1,1,1O:1O,1O,,1S,,650,3.283491614467569,Cluster_092_169.xyz
1,2,1,0,1,1O,1O:1O,1O,,,563,2.8440088906849867,Cluster_014_106.xyz
2,0,0,1,1,1O:1O,,,1S,,439,2.217619721155789,Cluster_036_045.xyz
1,1,0,1,1,1O,1O,,1S,,273,1.379066478076379,Cluster_086_102.xyz
2,0,1,0,1,1O:1O,,1O,,,234,1.1820569812083248,Cluster_077_043.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,228,1.151747827844009,Cluster_030_160.xyz
1,0,1,1,1,1O,,1O,1S,,223,1.1264902000404122,Cluster_000_055.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,217,1.0961810466760962,Cluster_090_020.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,212,1.0709234188724994,Cluster_051_037.xyz
1,1,1,0,1,1O,1O,2O,,,179,0.9042230753687613,Cluster_081_034.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,175,0.884016973125884,Cluster_058_080.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,172,0.868862396443726,Cluster_065_106.xyz
2,0,0,1,1,1O:1O,,,2S,,167,0.8436047686401293,Cluster_081_179.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,160,0.808244089715094,Cluster_011_164.xyz
2,0,1,1,1,1O:1O,,1O,2S,,153,0.7728834107900586,Cluster_092_057.xyz
1,1,2,0,1,1O,1O,1O:2O,,,152,0.7678318852293392,Cluster_032_117.xyz
1,1,1,0,1,1O,1O,1O,,,152,0.7678318852293392,Cluster_017_152.xyz
1,0,1,1,1,1O,,2O,1S,,146,0.7375227318650233,Cluster_029_175.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,130,0.6566983228935138,Cluster_076_121.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,126,0.6364922206506365,Cluster_040_059.xyz
0,1,2,1,1,,1O,1O:1O,1S,,122,0.6162861184077592,Cluster_029_121.xyz
0,2,1,1,1,,1O:1O,1O,1S,,117,0.5910284906041624,Cluster_013_187.xyz
1,0,1,1,1,1O,,1O,2S,,113,0.5708223883612851,Cluster_003_070.xyz
3,0,0,0,1,1O:1O:1O,,,,,110,0.555667811679127,Cluster_072_144.xyz
2,0,1,0,1,1O:1O,,2O,,,105,0.5304101838755304,Cluster_079_031.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,105,0.5304101838755304,Cluster_058_138.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,92,0.46474035158617905,Cluster_045_116.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,89,0.449585774904021,Cluster_032_107.xyz
1,1,0,1,1,1O,1O,,2S,,84,0.4243281471004243,Cluster_014_149.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,82,0.41422509597898566,Cluster_090_156.xyz
0,1,1,1,1,,1O,1O,1S,,80,0.404122044857547,Cluster_068_183.xyz
1,0,2,0,1,1O,,1O:2O,,,80,0.404122044857547,Cluster_000_156.xyz
2,1,0,0,1,1O:1O,1O,,,,73,0.36876136593251163,Cluster_034_022.xyz
2,1,2,0,1,1O:1O,1O,1O:1O,,,67,0.3384522125681956,Cluster_087_132.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,67,0.3384522125681956,Cluster_035_073.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,66,0.33340068700747627,Cluster_031_072.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,64,0.3232976358860376,Cluster_080_045.xyz
0,2,0,1,1,,1O:1O,,1S,,61,0.3081430592038796,Cluster_013_061.xyz
1,2,0,1,1,1O,1O:1O,,1S,,59,0.2980400080824409,Cluster_028_187.xyz
1,0,2,1,1,1O,,1O:1O,2S,,58,0.29298848252172155,Cluster_062_137.xyz
0,1,3,0,1,,1O,1O:1O:1O,,,57,0.28793695696100224,Cluster_054_076.xyz
1,0,2,0,1,1O,,1O:1O,,,57,0.28793695696100224,Cluster_050_077.xyz
0,1,2,0,1,,1O,1O:2O,,,55,0.2778339058395635,Cluster_001_129.xyz
0,2,1,0,1,,1O:1O,2O,,,54,0.2727823802788442,Cluster_032_109.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,45,0.2273186502323702,Cluster_017_122.xyz
1,0,0,1,1,1O,,,2S,,45,0.2273186502323702,Cluster_000_097.xyz
0,1,1,1,1,,1O,2O,1S,,43,0.2172155991109315,Cluster_066_150.xyz
2,1,1,0,1,1O:1O,1O,2O,,,41,0.20711254798949283,Cluster_006_150.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,40,0.2020610224287735,Cluster_015_058.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,39,0.19700949686805416,Cluster_063_179.xyz
0,2,1,0,1,,1O:1O,1O,,,38,0.1919579713073348,Cluster_010_157.xyz
1,1,3,0,1,1O,1O,1O:1O:1O,,,35,0.1768033946251768,Cluster_010_129.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,34,0.17175186906445747,Cluster_072_112.xyz
2,0,0,1,1,1O:1O,,,3S,,34,0.17175186906445747,Cluster_063_166.xyz
1,2,0,0,1,1O,1O:1O,,,,33,0.16670034350373814,Cluster_091_074.xyz
0,1,1,1,1,,1O,1O,2S,,32,0.1616488179430188,Cluster_013_047.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,31,0.15659729238229944,Cluster_045_036.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,31,0.15659729238229944,Cluster_061_036.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,30,0.1515457668215801,Cluster_026_177.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,30,0.1515457668215801,Cluster_016_096.xyz
1,0,1,1,1,1O,,2O,2S,,29,0.14649424126086077,Cluster_076_183.xyz
1,1,1,1,1,1O,1O,1O,2S,,28,0.14144271570014144,Cluster_039_063.xyz
1,0,1,1,1,1O,,1O,3S,,23,0.11618508789654476,Cluster_075_023.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,22,0.11113356233582541,Cluster_019_025.xyz
0,1,2,0,1,,1O,1O:1O,,,22,0.11113356233582541,Cluster_080_152.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,20,0.10103051121438675,Cluster_079_087.xyz
2,0,1,1,1,1O:1O,,2O,1S,,19,0.0959789856536674,Cluster_093_181.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,19,0.0959789856536674,Cluster_005_060.xyz
1,0,2,0,1,1O,,2O:2O,,,19,0.0959789856536674,Cluster_064_100.xyz
1,0,2,1,1,1O,,1O:2O,1S,,17,0.08587593453222873,Cluster_047_172.xyz
1,1,0,1,1,1O,1O,,3S,,17,0.08587593453222873,Cluster_092_158.xyz
0,0,1,9,1,,,1O,:::::1S:1S:1S:1S,,16,0.0808244089715094,Cluster_021_177.xyz
0,0,2,1,1,,,1O:2O,1S,,16,0.0808244089715094,Cluster_068_065.xyz
0,0,1,1,1,,,1O,2S,,15,0.07577288341079005,Cluster_061_097.xyz
0,2,0,1,1,,1O:1O,,2S,,14,0.07072135785007072,Cluster_020_061.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,14,0.07072135785007072,Cluster_002_134.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,13,0.06566983228935139,Cluster_063_116.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,13,0.06566983228935139,Cluster_057_058.xyz
1,0,0,1,1,1O,,,1S,,13,0.06566983228935139,Cluster_042_107.xyz
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,12,0.06061830672863205,Cluster_005_182.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,12,0.06061830672863205,Cluster_002_025.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,11,0.05556678116791271,Cluster_050_043.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,11,0.05556678116791271,Cluster_070_075.xyz
0,1,2,0,1,,1O,2O:2O,,,10,0.050515255607193374,Cluster_056_002.xyz
0,1,1,1,1,,1O,2O,2S,,10,0.050515255607193374,Cluster_071_192.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,10,0.050515255607193374,Cluster_100_137.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,9,0.045463730046474034,Cluster_081_156.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,9,0.045463730046474034,Cluster_004_170.xyz
0,1,0,1,1,,1O,,1S,,9,0.045463730046474034,Cluster_008_061.xyz
0,0,2,1,1,,,1O:1O,1S,,8,0.0404122044857547,Cluster_089_178.xyz
0,0,3,0,1,,,1O:1O:2O,,,7,0.03536067892503536,Cluster_049_190.xyz
0,1,3,0,1,,1O,1O:1O:2O,,,7,0.03536067892503536,Cluster_085_109.xyz
3,1,1,0,1,1O:1O:1O,1O,1O,,,7,0.03536067892503536,Cluster_041_194.xyz
2,1,0,1,1,1O:1O,1O,,2S,,7,0.03536067892503536,Cluster_036_024.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,7,0.03536067892503536,Cluster_013_094.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_092_088.xyz
0,1,1,9,1,,1O,1O,:::::1S:1S:1S:1S,,6,0.030309153364316024,Cluster_022_182.xyz
0,0,0,17,1,,,,:::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_099_058.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:2S:2S,,6,0.030309153364316024,Cluster_058_116.xyz
0,0,2,1,1,,,1O:1O,2S,,6,0.030309153364316024,Cluster_083_065.xyz
0,0,3,0,1,,,1O:2O:2O,,,6,0.030309153364316024,Cluster_046_071.xyz
