num_dol,num_ipms,num_tfsi,num_ps,num_li,atoms_dol,atoms_ipms,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,4,0,0,1,,1O:1O:1O:1O,,,,6584,33.25924429177611,Cluster_034_148.xyz
1,3,0,0,1,1O,1O:1O:1O,,,,3915,19.776722570216204,Cluster_003_145.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,2092,10.567791473024853,Cluster_054_076.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,1330,6.718528995756719,Cluster_065_078.xyz
0,3,0,0,1,,1O:1O:1O,,,,1321,6.673065265710244,Cluster_051_037.xyz
1,2,0,1,1,1O,1O:1O,,1S,,1271,6.420488987674277,Cluster_001_011.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,567,2.8642149929278644,Cluster_041_126.xyz
1,2,0,0,1,1O,1O:1O,,,,501,2.530814305920388,Cluster_003_014.xyz
0,2,0,1,1,,1O:1O,,1S,,493,2.490402101434633,Cluster_098_073.xyz
1,2,1,0,1,1O,1O:1O,1O,,,372,1.8791675085875934,Cluster_076_098.xyz
0,2,1,1,1,,1O:1O,1O,1S,,196,0.9900990099009901,Cluster_081_091.xyz
2,1,0,1,1,1O:1O,1O,,1S,,152,0.7678318852293392,Cluster_037_017.xyz
1,1,1,1,1,1O,1O,1O,1S,,114,0.5758739139220045,Cluster_052_058.xyz
1,1,0,1,1,1O,1O,,1S,,109,0.5506162861184077,Cluster_078_058.xyz
0,2,1,0,1,,1O:1O,1O,,,107,0.5405132349969691,Cluster_010_144.xyz
0,2,0,0,1,,1O:1O,,,,89,0.449585774904021,Cluster_086_084.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,70,0.3536067892503536,Cluster_041_180.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,46,0.23237017579308952,Cluster_095_163.xyz
2,1,0,0,1,1O:1O,1O,,,,37,0.18690644574661547,Cluster_076_123.xyz
1,1,1,0,1,1O,1O,1O,,,33,0.16670034350373814,Cluster_027_058.xyz
0,2,0,1,1,,1O:1O,,2S,,31,0.15659729238229944,Cluster_030_129.xyz
0,1,0,1,1,,1O,,1S,,29,0.14649424126086077,Cluster_054_180.xyz
0,1,1,1,1,,1O,1O,1S,,29,0.14649424126086077,Cluster_051_062.xyz
1,3,1,0,1,1O,1O:1O:1O,1O,,,25,0.12628813901798344,Cluster_055_115.xyz
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,23,0.11618508789654476,Cluster_043_180.xyz
1,4,0,0,1,1O,1O:1O:1O:1O,,,,18,0.09092746009294807,Cluster_072_072.xyz
0,2,1,0,1,,1O:1O,2O,,,17,0.08587593453222873,Cluster_032_101.xyz
0,2,0,9,1,,1O:1O,,:::::1S:1S:1S:1S,,17,0.08587593453222873,Cluster_013_073.xyz
