num_dol,num_ma,num_tfsi,num_ps,num_li,atoms_dol,atoms_ma,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,1,0,1,1,1O:1O,1O,,1S,,4106,20.741563952313598,Cluster_065_078.xyz
1,2,1,0,1,1O,1O:1O,1O,,,3888,19.640331380076784,Cluster_034_148.xyz
2,0,1,1,1,1O:1O,,1O,1S,,2793,14.108910891089108,Cluster_081_091.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,2014,10.173772479288745,Cluster_058_116.xyz
2,2,2,0,1,1O:1O,1O:1O,1O:1O,,,945,4.773691654879774,Cluster_037_017.xyz
4,4,1,0,1,1O:1O:1O:1O,1O:1O:1O:1O,1O,,,746,3.7684380682966254,Cluster_001_011.xyz
3,3,2,0,1,1O:1O:1O,1O:1O:1O,1O:1O,,,554,2.798545160638513,Cluster_030_045.xyz
3,3,0,1,1,1O:1O:1O,1O:1O:1O,,2S,,442,2.2327742978379472,Cluster_042_107.xyz
3,3,1,0,1,1O:1O:1O,1O:1O:1O,2O,,,437,2.2075166700343503,Cluster_099_115.xyz
2,2,1,1,1,1O:1O,1O:1O,1O,2S,,414,2.091331582137806,Cluster_000_055.xyz
2,2,0,9,1,1O:1O,1O:1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,393,1.9852495453626995,Cluster_013_061.xyz
2,2,0,1,1,1O:1O,1O:1O,,2S,,325,1.6417458072337845,Cluster_052_058.xyz
2,2,2,0,1,1O:1O,1O:1O,1O:2O,,,316,1.5962820771873105,Cluster_098_073.xyz
2,2,0,1,1,1O:1O,1O:1O,,1S,,228,1.151747827844009,Cluster_042_020.xyz
1,1,2,1,1,1O,1O,1O:1O,1S,,158,0.7981410385936553,Cluster_080_177.xyz
5,5,0,0,1,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,,,,139,0.7021620529399879,Cluster_010_044.xyz
1,1,1,1,1,1O,1O,2O,1S,,102,0.5152556071933724,Cluster_092_057.xyz
1,1,0,1,1,1O,1O,,2S,,97,0.48999797938977574,Cluster_054_076.xyz
2,2,0,1,1,1O:1O,1O:1O,,3S,,97,0.48999797938977574,Cluster_078_058.xyz
1,1,1,1,1,1O,1O,1O,2S,,81,0.4091735704182663,Cluster_062_127.xyz
2,2,1,0,1,1O:1O,1O:1O,2O,,,79,0.39907051929682763,Cluster_068_052.xyz
2,2,0,9,1,1O:1O,1O:1O,,:::::1S:1S:1S:1S,,73,0.36876136593251163,Cluster_033_019.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,73,0.36876136593251163,Cluster_084_105.xyz
1,1,0,1,1,1O,1O,,3S,,70,0.3536067892503536,Cluster_079_035.xyz
1,1,1,9,1,1O,1O,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,62,0.3131945847645989,Cluster_038_169.xyz
2,2,3,0,1,1O:1O,1O:1O,1O:1O:1O,,,60,0.3030915336431602,Cluster_079_090.xyz
3,3,0,0,1,1O:1O:1O,1O:1O:1O,,,,58,0.29298848252172155,Cluster_011_143.xyz
2,2,0,9,1,1O:1O,1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,57,0.28793695696100224,Cluster_025_150.xyz
3,3,2,0,1,1O:1O:1O,1O:1O:1O,1O:2O,,,54,0.2727823802788442,Cluster_091_190.xyz
2,2,1,0,1,1O:1O,1O:1O,1O,,,51,0.2576278035966862,Cluster_054_180.xyz
2,2,1,1,1,1O:1O,1O:1O,2O,1S,,50,0.2525762780359669,Cluster_014_174.xyz
1,1,1,1,1,1O,1O,1O,1S,,50,0.2525762780359669,Cluster_034_089.xyz
