num_dol,num_meim,num_tfsi,num_ps,num_li,atoms_dol,atoms_meim,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,3,0,0,1,1O,1N:1N:1N,,,,5827,29.435239442311577,Cluster_092_169.xyz
0,4,0,0,1,,1N:1N:1N:1N,,,,3525,17.806627601535663,Cluster_034_148.xyz
1,2,0,1,1,1O,1N:1N,,1S,,2124,10.729440290967872,Cluster_003_145.xyz
0,3,1,0,1,,1N:1N:1N,1O,,,1456,7.355021216407355,Cluster_054_180.xyz
2,2,0,0,1,1O:1O,1N:1N,,,,1288,6.506364922206506,Cluster_051_037.xyz
0,3,0,1,1,,1N:1N:1N,,1S,,1032,5.213174378662356,Cluster_081_091.xyz
1,2,1,0,1,1O,1N:1N,1O,,,856,4.324105879975753,Cluster_001_011.xyz
2,1,0,1,1,1O:1O,1N,,1S,,785,3.9654475651646797,Cluster_080_177.xyz
0,3,0,0,1,,1N:1N:1N,,,,649,3.2784400889068497,Cluster_042_107.xyz
0,2,0,1,1,,1N:1N,,1S,,522,2.636896342695494,Cluster_098_073.xyz
1,2,0,0,1,1O,1N:1N,,,,253,1.2780359668619923,Cluster_090_070.xyz
1,1,1,1,1,1O,1N,1O,1S,,210,1.0608203677510608,Cluster_013_195.xyz
0,2,0,1,1,,1N:1N,,2S,,177,0.8941200242473227,Cluster_048_174.xyz
0,2,1,1,1,,1N:1N,1O,1S,,142,0.7173166296221459,Cluster_068_030.xyz
1,1,0,1,1,1O,1N,,1S,,132,0.6668013740149525,Cluster_091_181.xyz
1,1,0,1,1,1O,1N,,2S,,102,0.5152556071933724,Cluster_073_067.xyz
1,1,0,9,1,1O,1N,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,45,0.2273186502323702,Cluster_002_009.xyz
1,1,0,9,1,1O,1N,,:::::1S:1S:1S:1S,,33,0.16670034350373814,Cluster_062_127.xyz
0,2,0,1,1,,1N:1N,,3S,,31,0.15659729238229944,Cluster_081_034.xyz
0,2,2,0,1,,1N:1N,1O:1O,,,30,0.1515457668215801,Cluster_095_081.xyz
2,1,1,0,1,1O:1O,1N,1O,,,29,0.14649424126086077,Cluster_013_177.xyz
1,2,0,1,1,1O,1N:1N,,2S,,26,0.13133966457870277,Cluster_050_077.xyz
1,1,0,9,1,1O,1N,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,26,0.13133966457870277,Cluster_010_075.xyz
2,1,0,0,1,1O:1O,1N,,,,25,0.12628813901798344,Cluster_097_044.xyz
0,1,1,1,1,,1N,1O,1S,,23,0.11618508789654476,Cluster_092_195.xyz
0,2,1,0,1,,1N:1N,2O,,,23,0.11618508789654476,Cluster_043_023.xyz
2,1,0,1,1,1O:1O,1N,,2S,,22,0.11113356233582541,Cluster_015_191.xyz
3,1,0,0,1,1O:1O:1O,1N,,,,21,0.10608203677510608,Cluster_014_011.xyz
0,1,0,9,1,,1N,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,21,0.10608203677510608,Cluster_002_195.xyz
1,1,0,1,1,1O,1N,,3S,,18,0.09092746009294807,Cluster_061_189.xyz
1,0,0,1,1,1O,,,2S,,17,0.08587593453222873,Cluster_015_058.xyz
0,2,0,9,1,,1N:1N,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,15,0.07577288341079005,Cluster_086_034.xyz
0,2,1,0,1,,1N:1N,1O,,,15,0.07577288341079005,Cluster_096_132.xyz
0,1,0,9,1,,1N,,:::::1S:1S:1S:1S,,15,0.07577288341079005,Cluster_064_069.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,11,0.05556678116791271,Cluster_022_067.xyz
2,0,1,1,1,1O:1O,,1O,1S,,10,0.050515255607193374,Cluster_025_067.xyz
0,4,0,0,1,,:1N:1N:1N,,,,8,0.0404122044857547,Cluster_025_038.xyz
1,0,0,1,1,1O,,,3S,,8,0.0404122044857547,Cluster_004_058.xyz
0,2,0,0,1,,1N:1N,,,,8,0.0404122044857547,Cluster_097_159.xyz
0,1,0,9,1,,1N,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,8,0.0404122044857547,Cluster_049_015.xyz
