num_dol,num_methf,num_tfsi,num_ps,num_li,atoms_dol,atoms_methf,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,2,1,0,1,1O,1O:1O,1O,,,2581,13.03798747221661,Cluster_009_035.xyz
2,1,1,0,1,1O:1O,1O,1O,,,2120,10.709234188724995,Cluster_034_148.xyz
2,1,0,1,1,1O:1O,1O,,1S,,1649,8.329965649626187,Cluster_003_145.xyz
1,1,1,1,1,1O,1O,1O,1S,,1365,6.8953323903818955,Cluster_054_180.xyz
2,0,1,1,1,1O:1O,,1O,1S,,836,4.223075368761366,Cluster_065_078.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,822,4.152354010911295,Cluster_008_156.xyz
1,1,2,0,1,1O,1O,1O:1O,,,794,4.010911295211153,Cluster_013_061.xyz
1,2,0,1,1,1O,1O:1O,,1S,,715,3.611840775914326,Cluster_086_034.xyz
1,1,0,1,1,1O,1O,,1S,,684,3.4552434835320267,Cluster_042_107.xyz
0,2,1,1,1,,1O:1O,1O,1S,,577,2.9147302485350575,Cluster_094_032.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,575,2.904627197413619,Cluster_037_017.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,572,2.889472620731461,Cluster_054_076.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,502,2.5358658314811073,Cluster_086_102.xyz
0,2,0,1,1,,1O:1O,,1S,,456,2.303495655688018,Cluster_033_051.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,446,2.2529804000808245,Cluster_076_098.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,376,1.8993736108304708,Cluster_031_027.xyz
2,1,0,0,1,1O:1O,1O,,,,329,1.661951909476662,Cluster_100_052.xyz
1,1,1,0,1,1O,1O,1O,,,301,1.5205091937765205,Cluster_039_080.xyz
1,2,0,0,1,1O,1O:1O,,,,276,1.394221054758537,Cluster_097_077.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,259,1.3083451202263083,Cluster_057_157.xyz
1,3,0,0,1,1O,1O:1O:1O,,,,255,1.288139017983431,Cluster_099_115.xyz
2,0,0,1,1,1O:1O,,,1S,,216,1.0911295211153769,Cluster_048_098.xyz
0,2,1,0,1,,1O:1O,1O,,,216,1.0911295211153769,Cluster_090_170.xyz
0,1,1,1,1,,1O,1O,1S,,211,1.0658718933117801,Cluster_009_055.xyz
1,1,1,0,1,1O,1O,2O,,,126,0.6364922206506365,Cluster_040_059.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,122,0.6162861184077592,Cluster_030_125.xyz
0,2,1,0,1,,1O:1O,2O,,,116,0.5859769650434431,Cluster_010_020.xyz
2,0,1,0,1,1O:1O,,1O,,,114,0.5758739139220045,Cluster_025_050.xyz
1,0,1,1,1,1O,,1O,1S,,109,0.5506162861184077,Cluster_003_014.xyz
1,1,0,1,1,1O,1O,,2S,,107,0.5405132349969691,Cluster_054_145.xyz
3,0,0,0,1,1O:1O:1O,,,,,106,0.5354617094362497,Cluster_043_096.xyz
0,3,0,0,1,,1O:1O:1O,,,,102,0.5152556071933724,Cluster_011_066.xyz
0,1,1,1,1,,1O,2O,1S,,101,0.5102040816326531,Cluster_020_151.xyz
0,1,2,1,1,,1O,1O:1O,1S,,90,0.4546373004647404,Cluster_077_176.xyz
0,2,0,1,1,,1O:1O,,2S,,88,0.44453424934330166,Cluster_084_051.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,88,0.44453424934330166,Cluster_029_027.xyz
1,0,2,1,1,1O,,1O:1O,1S,,83,0.41927662153970496,Cluster_063_078.xyz
2,0,0,1,1,1O:1O,,,2S,,78,0.3940189937361083,Cluster_041_126.xyz
1,1,2,0,1,1O,1O,1O:2O,,,62,0.3131945847645989,Cluster_014_106.xyz
0,4,0,0,1,,1O:1O:1O:1O,,,,52,0.26267932915740555,Cluster_002_002.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,48,0.2424732269145282,Cluster_060_083.xyz
0,1,1,1,1,,1O,1O,2S,,40,0.2020610224287735,Cluster_032_117.xyz
1,0,1,1,1,1O,,2O,1S,,37,0.18690644574661547,Cluster_081_192.xyz
1,1,0,0,1,1O,1O,,,,34,0.17175186906445747,Cluster_031_053.xyz
2,1,2,0,1,1O:1O,1O,1O:1O,,,33,0.16670034350373814,Cluster_025_024.xyz
0,1,2,0,1,,1O,1O:1O,,,32,0.1616488179430188,Cluster_024_140.xyz
0,1,2,0,1,,1O,1O:2O,,,31,0.15659729238229944,Cluster_087_182.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,30,0.1515457668215801,Cluster_068_153.xyz
