num_dol,num_mtbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_mtbe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,2655,13.41180036370984,Cluster_054_076.xyz
2,1,1,0,1,1O:1O,1O,1O,,,1895,9.572640937563143,Cluster_051_037.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,1595,8.057183269347343,Cluster_054_180.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1425,7.198423924025056,Cluster_011_066.xyz
1,1,2,0,1,1O,1O,1O:1O,,,1232,6.223479490806223,Cluster_003_145.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,1107,5.592038795716307,Cluster_020_085.xyz
1,1,1,1,1,1O,1O,1O,1S,,850,4.293796726611436,Cluster_037_017.xyz
1,0,2,1,1,1O,,1O:1O,1S,,694,3.50575873913922,Cluster_077_079.xyz
2,1,0,1,1,1O:1O,1O,,1S,,397,2.0054556476055767,Cluster_050_073.xyz
1,1,0,1,1,1O,1O,,1S,,354,1.7882400484946455,Cluster_064_126.xyz
1,2,1,0,1,1O,1O:1O,1O,,,313,1.5811275005051526,Cluster_042_107.xyz
1,1,1,0,1,1O,1O,2O,,,250,1.2628813901798344,Cluster_048_151.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,243,1.227520711254799,Cluster_060_119.xyz
2,0,1,1,1,1O:1O,,1O,2S,,240,1.2123661345726409,Cluster_033_051.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,216,1.0911295211153769,Cluster_054_145.xyz
2,0,0,1,1,1O:1O,,,1S,,204,1.0305112143867448,Cluster_052_058.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,203,1.0254596888260255,Cluster_044_098.xyz
2,0,0,1,1,1O:1O,,,2S,,191,0.9648413820973935,Cluster_065_106.xyz
1,1,0,1,1,1O,1O,,2S,,185,0.9345322287330774,Cluster_014_017.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,184,0.9294807031723581,Cluster_095_163.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,178,0.899171549808042,Cluster_087_107.xyz
0,1,2,1,1,,1O,1O:1O,1S,,166,0.8385532430794099,Cluster_099_115.xyz
0,1,3,0,1,,1O,1O:1O:1O,,,164,0.8284501919579713,Cluster_034_148.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,163,0.823398666397252,Cluster_000_055.xyz
0,1,1,1,1,,1O,1O,1S,,150,0.7577288341079006,Cluster_014_106.xyz
1,0,1,1,1,1O,,2O,1S,,142,0.7173166296221459,Cluster_086_034.xyz
0,2,1,0,1,,1O:1O,2O,,,141,0.7122651040614265,Cluster_015_175.xyz
1,1,2,0,1,1O,1O,1O:2O,,,139,0.7021620529399879,Cluster_000_145.xyz
1,0,1,1,1,1O,,1O,1S,,138,0.6971105273792685,Cluster_086_183.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,138,0.6971105273792685,Cluster_011_048.xyz
0,2,0,1,1,,1O:1O,,1S,,138,0.6971105273792685,Cluster_001_045.xyz
1,0,1,1,1,1O,,1O,2S,,135,0.6819559506971106,Cluster_003_070.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,123,0.6213376439684785,Cluster_029_072.xyz
0,1,1,1,1,,1O,2O,1S,,120,0.6061830672863204,Cluster_098_176.xyz
2,0,1,0,1,1O:1O,,2O,,,113,0.5708223883612851,Cluster_024_102.xyz
1,0,2,1,1,1O,,1O:1O,2S,,111,0.5607193372398465,Cluster_063_152.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,108,0.5455647605576884,Cluster_054_078.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,106,0.5354617094362497,Cluster_003_014.xyz
1,1,1,0,1,1O,1O,1O,,,105,0.5304101838755304,Cluster_096_178.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,93,0.46979187714689835,Cluster_043_096.xyz
0,1,2,0,1,,1O,1O:2O,,,86,0.434431198221863,Cluster_004_006.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,86,0.434431198221863,Cluster_078_143.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,85,0.4293796726611437,Cluster_038_169.xyz
0,2,1,1,1,,1O:1O,1O,1S,,78,0.3940189937361083,Cluster_034_106.xyz
0,1,1,1,1,,1O,1O,2S,,76,0.3839159426146696,Cluster_033_194.xyz
2,0,1,0,1,1O:1O,,1O,,,74,0.37381289149323094,Cluster_011_041.xyz
