num_dol,num_nma,num_tfsi,num_ps,num_li,atoms_dol,atoms_nma,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,3,0,0,1,1O,1O:1O:1O,,,,7112,35.92644978783593,Cluster_065_078.xyz
0,4,0,0,1,,1O:1O:1O:1O,,,,4063,20.52434835320267,Cluster_034_148.xyz
1,2,0,1,1,1O,1O:1O,,1S,,2236,11.295211153768438,Cluster_099_115.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,1125,5.682966255809254,Cluster_037_017.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,997,5.0363709840371795,Cluster_054_076.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,844,4.2634875732471205,Cluster_072_122.xyz
0,2,0,1,1,,1O:1O,,1S,,478,2.414629218023843,Cluster_003_145.xyz
1,2,1,0,1,1O,1O:1O,1O,,,415,2.096383107698525,Cluster_001_011.xyz
0,3,0,0,1,,1O:1O:1O,,,,391,1.9751464942412609,Cluster_068_153.xyz
2,1,0,1,1,1O:1O,1O,,1S,,284,1.4346332592442919,Cluster_057_124.xyz
1,2,0,0,1,1O,1O:1O,,,,262,1.3234996969084662,Cluster_061_122.xyz
0,2,1,1,1,,1O:1O,1O,1S,,239,1.2073146090119216,Cluster_053_029.xyz
0,2,0,1,1,,1O:1O,,2S,,144,0.7274196807435845,Cluster_002_049.xyz
1,1,0,1,1,1O,1O,,1S,,122,0.6162861184077592,Cluster_000_145.xyz
2,1,1,0,1,1O:1O,1O,1O,,,113,0.5708223883612851,Cluster_039_062.xyz
1,1,1,1,1,1O,1O,1O,1S,,109,0.5506162861184077,Cluster_019_031.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,82,0.41422509597898566,Cluster_065_162.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,78,0.3940189937361083,Cluster_058_100.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,66,0.33340068700747627,Cluster_037_012.xyz
0,1,0,1,1,,1O,,2S,,66,0.33340068700747627,Cluster_088_040.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,59,0.2980400080824409,Cluster_018_194.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,38,0.1919579713073348,Cluster_057_088.xyz
1,1,0,1,1,1O,1O,,2S,,35,0.1768033946251768,Cluster_029_040.xyz
0,2,1,0,1,,1O:1O,1O,,,29,0.14649424126086077,Cluster_095_062.xyz
2,1,0,0,1,1O:1O,1O,,,,27,0.1363911901394221,Cluster_000_044.xyz
1,2,0,1,1,1O,1O:1O,,2S,,20,0.10103051121438675,Cluster_051_103.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,19,0.0959789856536674,Cluster_035_012.xyz
0,2,0,9,1,,1O:1O,,:::::1S:1S:1S:1S,,18,0.09092746009294807,Cluster_071_031.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,17,0.08587593453222873,Cluster_087_087.xyz
0,2,0,1,1,,1O:1O,,3S,,17,0.08587593453222873,Cluster_042_176.xyz
0,1,1,1,1,,1O,1O,1S,,12,0.06061830672863205,Cluster_010_044.xyz
0,2,0,0,1,,1O:1O,,,,11,0.05556678116791271,Cluster_092_169.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,11,0.05556678116791271,Cluster_072_194.xyz
2,3,0,0,1,:1O,1O:1O:1O,,,,10,0.050515255607193374,Cluster_093_101.xyz
1,1,1,0,1,1O,1O,1O,,,9,0.045463730046474034,Cluster_097_100.xyz
0,1,0,1,1,,1O,,3S,,9,0.045463730046474034,Cluster_036_040.xyz
1,1,2,0,1,1O,1O,1O:1O,,,8,0.0404122044857547,Cluster_084_100.xyz
0,5,0,0,1,,:1O:1O:1O:1O,,,,8,0.0404122044857547,Cluster_011_102.xyz
