num_dol,num_ofe,num_tfsi,num_ps,num_li,atoms_dol,atoms_ofe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,4473,22.595473833097596,Cluster_092_169.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2679,13.533036977167104,Cluster_042_107.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1744,8.809860577894524,Cluster_098_073.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,1684,8.506769044251364,Cluster_003_145.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1516,7.658112750050515,Cluster_076_121.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,758,3.8290563750252575,Cluster_068_183.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,662,3.344109921196201,Cluster_001_011.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,556,2.8086482117599516,Cluster_058_116.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,407,2.05597090321277,Cluster_074_152.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,354,1.7882400484946455,Cluster_013_061.xyz
2,0,1,1,1,1O:1O,,1O,2S,,310,1.5659729238229945,Cluster_050_073.xyz
2,0,0,1,1,1O:1O,,,1S,,267,1.348757324712063,Cluster_091_166.xyz
1,0,1,1,1,1O,,2O,1S,,248,1.2527783390583955,Cluster_038_032.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,225,1.1365932511618508,Cluster_009_035.xyz
1,0,1,1,1,1O,,1O,1S,,223,1.1264902000404122,Cluster_077_043.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,203,1.0254596888260255,Cluster_058_100.xyz
1,0,2,1,1,1O,,1O:1O,2S,,191,0.9648413820973935,Cluster_092_057.xyz
1,0,1,1,1,1O,,1O,2S,,175,0.884016973125884,Cluster_069_088.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,165,0.8335017175186906,Cluster_065_078.xyz
2,0,0,1,1,1O:1O,,,2S,,146,0.7375227318650233,Cluster_034_148.xyz
2,0,1,0,1,1O:1O,,2O,,,142,0.7173166296221459,Cluster_041_180.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,136,0.6870074762578299,Cluster_054_076.xyz
1,0,2,0,1,1O,,1O:2O,,,135,0.6819559506971106,Cluster_071_139.xyz
