num_dol,num_pegdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_pegdme,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,2,0,0,1,1O,1O:2O,,,,5194,26.237623762376238,Cluster_054_076.xyz
0,3,0,0,1,,1O:1O:2O,,,,3309,16.715498080420286,Cluster_092_169.xyz
0,2,0,0,1,,2O:2O,,,,2268,11.456859971711458,Cluster_099_115.xyz
0,2,1,0,1,,1O:2O,1O,,,986,4.980804202869266,Cluster_011_066.xyz
1,1,0,1,1,1O,2O,,1S,,983,4.965649626187108,Cluster_072_122.xyz
0,2,0,1,1,,1O:2O,,1S,,935,4.72317639927258,Cluster_037_017.xyz
0,2,0,0,1,,1O:2O,,,,896,4.526166902404526,Cluster_081_091.xyz
2,1,0,0,1,1O:1O,2O,,,,610,3.081430592038796,Cluster_002_002.xyz
0,1,0,1,1,,2O,,1S,,330,1.6670034350373812,Cluster_056_134.xyz
0,2,0,1,1,,1O:1O,,1S,,321,1.6215397049909073,Cluster_004_017.xyz
1,2,0,1,1,1O,1O:1O,,1S,,316,1.5962820771873105,Cluster_076_098.xyz
1,3,0,0,1,1O,1O:1O:1O,,,,310,1.5659729238229945,Cluster_009_179.xyz
1,1,1,0,1,1O,2O,1O,,,307,1.5508183471408366,Cluster_005_136.xyz
0,4,0,0,1,,1O:1O:1O:1O,,,,245,1.2376237623762376,Cluster_014_106.xyz
1,1,0,0,1,1O,2O,,,,229,1.1567993534047283,Cluster_092_057.xyz
0,3,0,0,1,,1O:1O:1O,,,,220,1.111335623358254,Cluster_083_189.xyz
1,2,1,0,1,1O,1O:1O,1O,,,217,1.0961810466760962,Cluster_098_073.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,176,0.8890684986866033,Cluster_065_078.xyz
2,1,0,1,1,1O:1O,1O,,1S,,171,0.8638108708830067,Cluster_031_141.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,154,0.7779349363507779,Cluster_023_014.xyz
1,2,0,0,1,1O,1O:1O,,,,144,0.7274196807435845,Cluster_008_156.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,142,0.7173166296221459,Cluster_100_052.xyz
1,1,0,1,1,1O,1O,,1S,,134,0.6769044251363912,Cluster_075_037.xyz
1,1,1,1,1,1O,1O,1O,1S,,118,0.5960800161648818,Cluster_097_077.xyz
0,1,1,1,1,,2O,1O,1S,,92,0.46474035158617905,Cluster_048_151.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,71,0.35865831481107296,Cluster_073_077.xyz
0,1,0,1,1,,2O,,2S,,69,0.34855526368963424,Cluster_038_016.xyz
0,2,1,1,1,,1O:1O,1O,1S,,56,0.2828854314002829,Cluster_005_139.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,50,0.2525762780359669,Cluster_034_148.xyz
0,2,0,1,1,,1O:1O,,2S,,43,0.2172155991109315,Cluster_096_172.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,39,0.19700949686805416,Cluster_071_139.xyz
2,1,1,0,1,1O:1O,1O,1O,,,38,0.1919579713073348,Cluster_020_079.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,33,0.16670034350373814,Cluster_000_055.xyz
1,1,0,1,1,1O,1O,,2S,,30,0.1515457668215801,Cluster_054_046.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,30,0.1515457668215801,Cluster_010_144.xyz
0,1,0,1,1,,1O,,1S,,25,0.12628813901798344,Cluster_030_037.xyz
0,1,1,1,1,,1O,1O,1S,,25,0.12628813901798344,Cluster_080_021.xyz
2,1,0,0,1,1O:1O,1O,,,,24,0.1212366134572641,Cluster_034_141.xyz
0,1,1,0,1,,2O,1O,,,23,0.11618508789654476,Cluster_009_057.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,22,0.11113356233582541,Cluster_051_037.xyz
0,1,0,0,1,,2O,,,,22,0.11113356233582541,Cluster_020_151.xyz
0,2,0,0,1,,1O:1O,,,,21,0.10608203677510608,Cluster_040_074.xyz
0,1,0,1,1,,1O,,2S,,19,0.0959789856536674,Cluster_031_046.xyz
1,1,1,0,1,1O,1O,1O,,,16,0.0808244089715094,Cluster_031_104.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,16,0.0808244089715094,Cluster_098_170.xyz
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,16,0.0808244089715094,Cluster_090_139.xyz
0,2,1,0,1,,1O:1O,1O,,,16,0.0808244089715094,Cluster_061_073.xyz
1,0,0,1,1,1O,,,2S,,15,0.07577288341079005,Cluster_039_046.xyz
0,1,2,0,1,,2O,1O:1O,,,11,0.05556678116791271,Cluster_070_089.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,11,0.05556678116791271,Cluster_012_151.xyz
2,0,0,1,1,1O:1O,,,1S,,10,0.050515255607193374,Cluster_092_170.xyz
1,1,0,1,1,1O,2O,,2S,,9,0.045463730046474034,Cluster_001_165.xyz
2,1,1,0,1,1O:1O,2O,1O,,,9,0.045463730046474034,Cluster_005_024.xyz
1,1,2,0,1,1O,1O,1O:1O,,,8,0.0404122044857547,Cluster_074_024.xyz
