num_dol,num_prn,num_tfsi,num_ps,num_li,atoms_dol,atoms_prn,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,3,0,0,1,1O,1N:1N:1N,,,,4617,23.32289351384118,Cluster_034_148.xyz
0,4,0,0,1,,1N:1N:1N:1N,,,,4453,22.49444332188321,Cluster_065_078.xyz
1,2,0,1,1,1O,1N:1N,,1S,,2309,11.66397251970095,Cluster_092_169.xyz
0,3,1,0,1,,1N:1N:1N,1O,,,1494,7.5469791877146895,Cluster_041_126.xyz
0,3,0,1,1,,1N:1N:1N,,1S,,1460,7.375227318650232,Cluster_014_106.xyz
2,2,0,0,1,1O:1O,1N:1N,,,,876,4.425136391190139,Cluster_008_156.xyz
1,2,1,0,1,1O,1N:1N,1O,,,779,3.935138411800364,Cluster_084_051.xyz
0,3,0,0,1,,1N:1N:1N,,,,546,2.758132956152758,Cluster_011_066.xyz
2,1,0,1,1,1O:1O,1N,,1S,,538,2.717720751667003,Cluster_058_099.xyz
0,2,0,1,1,,1N:1N,,1S,,471,2.379268539098808,Cluster_054_076.xyz
0,2,1,1,1,,1N:1N,1O,1S,,310,1.5659729238229945,Cluster_095_158.xyz
1,1,1,1,1,1O,1N,1O,1S,,303,1.530612244897959,Cluster_074_152.xyz
1,2,0,0,1,1O,1N:1N,,,,205,1.035562739947464,Cluster_068_153.xyz
0,2,0,1,1,,1N:1N,,2S,,150,0.7577288341079006,Cluster_000_174.xyz
1,1,0,1,1,1O,1N,,1S,,128,0.6465952717720752,Cluster_036_045.xyz
1,1,0,1,1,1O,1N,,2S,,57,0.28793695696100224,Cluster_072_022.xyz
0,1,0,1,1,,1N,,2S,,55,0.2778339058395635,Cluster_089_070.xyz
1,1,0,9,1,1O,1N,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,49,0.24752475247524752,Cluster_076_098.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,46,0.23237017579308952,Cluster_016_075.xyz
1,1,0,9,1,1O,1N,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,46,0.23237017579308952,Cluster_071_131.xyz
0,2,1,0,1,,1N:1N,1O,,,40,0.2020610224287735,Cluster_081_084.xyz
1,2,0,1,1,1O,1N:1N,,2S,,38,0.1919579713073348,Cluster_019_077.xyz
0,1,0,9,1,,1N,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,35,0.1768033946251768,Cluster_017_152.xyz
0,2,0,9,1,,1N:1N,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,33,0.16670034350373814,Cluster_094_177.xyz
1,1,0,9,1,1O,1N,,:::::1S:1S:1S:1S,,31,0.15659729238229944,Cluster_055_171.xyz
0,2,2,0,1,,1N:1N,1O:1O,,,31,0.15659729238229944,Cluster_090_170.xyz
0,1,0,9,1,,1N,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,30,0.1515457668215801,Cluster_080_177.xyz
2,1,1,0,1,1O:1O,1N,1O,,,28,0.14144271570014144,Cluster_001_067.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,25,0.12628813901798344,Cluster_010_075.xyz
0,1,0,9,1,,1N,,:::::1S:1S:1S:1S,,23,0.11618508789654476,Cluster_064_124.xyz
0,2,0,1,1,,1N:1N,,3S,,21,0.10608203677510608,Cluster_063_061.xyz
0,1,1,1,1,,1N,1O,1S,,20,0.10103051121438675,Cluster_030_045.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,19,0.0959789856536674,Cluster_056_036.xyz
3,1,0,0,1,1O:1O:1O,1N,,,,19,0.0959789856536674,Cluster_036_133.xyz
2,3,0,0,1,:1O,1N:1N:1N,,,,18,0.09092746009294807,Cluster_014_014.xyz
0,2,0,9,1,,1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,17,0.08587593453222873,Cluster_060_076.xyz
0,2,0,9,1,,1N:1N,,:::::1S:1S:1S:1S,,16,0.0808244089715094,Cluster_075_037.xyz
0,3,0,1,1,,1N:1N:1N,,2S,,16,0.0808244089715094,Cluster_011_058.xyz
2,2,1,0,1,1O:1O,1N:1N,1O,,,15,0.07577288341079005,Cluster_066_095.xyz
2,1,0,0,1,1O:1O,1N,,,,15,0.07577288341079005,Cluster_001_138.xyz
1,1,2,0,1,1O,1N,1O:1O,,,13,0.06566983228935139,Cluster_073_004.xyz
0,2,1,0,1,,1N:1N,2O,,,12,0.06061830672863205,Cluster_018_091.xyz
1,1,1,1,1,1O,1N,1O,2S,,12,0.06061830672863205,Cluster_025_024.xyz
1,1,0,1,1,1O,1N,,3S,,12,0.06061830672863205,Cluster_090_070.xyz
0,1,1,1,1,,1N,1O,2S,,11,0.05556678116791271,Cluster_087_070.xyz
0,1,2,1,1,,1N,1O:1O,1S,,11,0.05556678116791271,Cluster_072_004.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,10,0.050515255607193374,Cluster_009_075.xyz
2,1,0,1,1,1O:1O,1N,,2S,,10,0.050515255607193374,Cluster_056_007.xyz
1,4,0,0,1,1O,:1N:1N:1N,,,,10,0.050515255607193374,Cluster_003_113.xyz
2,0,1,1,1,1O:1O,,1O,1S,,10,0.050515255607193374,Cluster_061_036.xyz
0,5,0,0,1,,:1N:1N:1N:1N,,,,10,0.050515255607193374,Cluster_014_121.xyz
0,2,0,0,1,,1N:1N,,,,9,0.045463730046474034,Cluster_038_188.xyz
0,0,0,17,1,,,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S,,8,0.0404122044857547,Cluster_090_102.xyz
1,3,1,0,1,1O,1N:1N:1N,1O,,,8,0.0404122044857547,Cluster_002_049.xyz
0,1,0,1,1,,1N,,3S,,8,0.0404122044857547,Cluster_014_038.xyz
2,0,0,1,1,1O:1O,,,1S,,8,0.0404122044857547,Cluster_071_036.xyz
1,1,1,0,1,1O,1N,1O,,,8,0.0404122044857547,Cluster_037_016.xyz
0,1,1,1,1,,1N,2O,1S,,7,0.03536067892503536,Cluster_023_135.xyz
