num_dol,num_sl,num_tfsi,num_ps,num_li,atoms_dol,atoms_sl,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,4,0,0,1,,1O:1O:1O:1O,,,,8402,42.44291776116387,Cluster_034_148.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,3422,17.28632046878157,Cluster_008_156.xyz
1,3,0,0,1,1O,1O:1O:1O,,,,3391,17.129723176399274,Cluster_092_169.xyz
1,2,0,1,1,1O,1O:1O,,1S,,954,4.819155384926248,Cluster_064_126.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,900,4.546373004647403,Cluster_054_076.xyz
0,3,0,0,1,,1O:1O:1O,,,,879,4.440290967872297,Cluster_086_183.xyz
0,2,0,1,1,,1O:1O,,1S,,245,1.2376237623762376,Cluster_081_034.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,236,1.1921600323297636,Cluster_020_085.xyz
1,2,1,0,1,1O,1O:1O,1O,,,207,1.045665791068903,Cluster_001_011.xyz
0,2,1,1,1,,1O:1O,1O,1S,,196,0.9900990099009901,Cluster_014_172.xyz
1,2,0,0,1,1O,1O:1O,,,,166,0.8385532430794099,Cluster_060_119.xyz
0,5,0,0,1,,1O:1O:1O:1O:1O,,,,94,0.4748434027076177,Cluster_024_192.xyz
1,4,0,0,1,1O,1O:1O:1O:1O,,,,83,0.41927662153970496,Cluster_040_025.xyz
0,4,1,0,1,,1O:1O:1O:1O,1O,,,63,0.31824611032531824,Cluster_055_117.xyz
1,3,1,0,1,1O,1O:1O:1O,1O,,,52,0.26267932915740555,Cluster_050_077.xyz
0,3,0,1,1,,1O:1O:1O,,2S,,46,0.23237017579308952,Cluster_096_081.xyz
0,2,0,9,1,,1O:1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,38,0.1919579713073348,Cluster_020_034.xyz
0,2,1,0,1,,1O:1O,1O,,,34,0.17175186906445747,Cluster_023_113.xyz
2,3,0,0,1,1O:1O,1O:1O:1O,,,,34,0.17175186906445747,Cluster_042_065.xyz
0,2,0,9,1,,1O:1O,,:::::1S:1S:1S:1S,,32,0.1616488179430188,Cluster_086_104.xyz
0,2,0,1,1,,1O:1O,,2S,,29,0.14649424126086077,Cluster_040_002.xyz
0,2,0,0,1,,1O:1O,,,,19,0.0959789856536674,Cluster_082_167.xyz
2,1,0,1,1,1O:1O,1O,,1S,,19,0.0959789856536674,Cluster_063_008.xyz
