num_dol,num_tegdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_tegdme,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,1,0,0,1,,5O,,,,4642,23.449181652859163,Cluster_034_148.xyz
1,1,0,0,1,1O,4O,,,,2268,11.456859971711458,Cluster_054_076.xyz
1,1,0,1,1,1O,2O,,1S,,2238,11.305314204889877,Cluster_086_183.xyz
0,2,0,0,1,,2O:2O,,,,1271,6.420488987674277,Cluster_003_145.xyz
0,2,0,0,1,,2O:3O,,,,798,4.0311173974540315,Cluster_051_037.xyz
0,1,1,0,1,,4O,1O,,,725,3.6623560315215196,Cluster_013_187.xyz
0,1,0,1,1,,3O,,1S,,610,3.081430592038796,Cluster_038_125.xyz
2,1,0,0,1,1O:1O,2O,,,,598,3.0208122853101638,Cluster_098_073.xyz
0,1,0,1,1,,4O,,1S,,579,2.924833299656496,Cluster_009_035.xyz
1,1,0,0,1,1O,3O,,,,578,2.9197817740957768,Cluster_099_115.xyz
1,1,0,1,1,1O,3O,,1S,,506,2.5560719337239846,Cluster_068_153.xyz
1,1,1,0,1,1O,3O,1O,,,400,2.020610224287735,Cluster_065_078.xyz
2,1,0,0,1,1O:1O,3O,,,,382,1.929682764194787,Cluster_092_169.xyz
0,1,0,0,1,,4O,,,,353,1.783188522933926,Cluster_077_043.xyz
1,1,0,0,1,1O,5O,,,,293,1.4800969892907658,Cluster_011_041.xyz
1,1,1,0,1,1O,2O,1O,,,263,1.3285512224691858,Cluster_037_017.xyz
1,1,0,1,1,1O,2O,,2S,,177,0.8941200242473227,Cluster_030_045.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,171,0.8638108708830067,Cluster_056_159.xyz
0,1,0,1,1,,2O,,2S,,170,0.8587593453222874,Cluster_054_081.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,163,0.823398666397252,Cluster_005_054.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,162,0.8183471408365326,Cluster_072_122.xyz
2,0,1,1,1,1O:1O,,1O,1S,,162,0.8183471408365326,Cluster_058_116.xyz
0,1,1,0,1,,5O,1O,,,158,0.7981410385936553,Cluster_058_080.xyz
0,1,1,1,1,,2O,1O,1S,,135,0.6819559506971106,Cluster_064_126.xyz
0,1,1,0,1,,3O,1O,,,112,0.5657708628005658,Cluster_001_002.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,103,0.5203071327540917,Cluster_083_140.xyz
