num_dol,num_tfee,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfee,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,3962,20.014144271570014,Cluster_054_076.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2487,12.563144069508992,Cluster_099_115.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,2227,11.249747423721963,Cluster_080_177.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1760,8.890684986866033,Cluster_014_106.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1713,8.653263285512224,Cluster_008_156.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,676,3.414831279046272,Cluster_020_085.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,633,3.1976156799353403,Cluster_001_011.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,439,2.217619721155789,Cluster_092_169.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,402,2.0307132754091737,Cluster_100_052.xyz
2,0,1,1,1,1O:1O,,1O,2S,,391,1.9751464942412609,Cluster_051_037.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,317,1.6013336027480298,Cluster_042_107.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,308,1.5558698727015559,Cluster_031_027.xyz
1,0,2,1,1,1O,,1O:1O,2S,,303,1.530612244897959,Cluster_065_078.xyz
1,0,1,1,1,1O,,1O,1S,,264,1.333602748029905,Cluster_032_101.xyz
1,0,1,1,1,1O,,2O,1S,,223,1.1264902000404122,Cluster_034_148.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,220,1.111335623358254,Cluster_010_075.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,206,1.0406142655081834,Cluster_097_077.xyz
2,0,0,1,1,1O:1O,,,1S,,195,0.9850474843402708,Cluster_078_058.xyz
1,0,1,1,1,1O,,1O,2S,,168,0.8486562942008486,Cluster_076_121.xyz
1,0,2,0,1,1O,,1O:2O,,,153,0.7728834107900586,Cluster_022_042.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,153,0.7728834107900586,Cluster_099_008.xyz
2,0,1,0,1,1O:1O,,2O,,,141,0.7122651040614265,Cluster_058_099.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,136,0.6870074762578299,Cluster_073_077.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,131,0.6617498484542331,Cluster_013_187.xyz
2,0,0,1,1,1O:1O,,,2S,,125,0.6314406950899172,Cluster_050_077.xyz
1,0,1,1,1,1O,,1O,3S,,97,0.48999797938977574,Cluster_042_176.xyz
2,0,1,0,1,1O:1O,,1O,,,93,0.46979187714689835,Cluster_021_010.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,92,0.46474035158617905,Cluster_009_162.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,85,0.4293796726611437,Cluster_003_145.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,84,0.4243281471004243,Cluster_090_188.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,79,0.39907051929682763,Cluster_030_160.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,72,0.36370984037179227,Cluster_020_151.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,62,0.3131945847645989,Cluster_031_114.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,59,0.2980400080824409,Cluster_050_073.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,58,0.29298848252172155,Cluster_058_167.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,57,0.28793695696100224,Cluster_030_174.xyz
1,0,2,1,1,1O,,1O:2O,1S,,55,0.2778339058395635,Cluster_083_091.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,51,0.2576278035966862,Cluster_005_003.xyz
2,0,0,1,1,1O:1O,,,3S,,50,0.2525762780359669,Cluster_011_066.xyz
1,0,1,1,1,1O,,2O,2S,,49,0.24752475247524752,Cluster_084_189.xyz
0,0,2,1,1,,,1O:2O,1S,,46,0.23237017579308952,Cluster_005_062.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,42,0.21216407355021216,Cluster_009_081.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,41,0.20711254798949283,Cluster_081_159.xyz
2,0,1,1,1,1O:1O,,2O,1S,,39,0.19700949686805416,Cluster_075_037.xyz
1,0,2,0,1,1O,,1O:1O,,,39,0.19700949686805416,Cluster_087_107.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,39,0.19700949686805416,Cluster_074_152.xyz
1,0,2,0,1,1O,,2O:2O,,,36,0.18185492018589614,Cluster_039_131.xyz
1,0,4,0,1,1O,,1O:1O:1O:2O,,,30,0.1515457668215801,Cluster_050_165.xyz
3,0,0,0,1,1O:1O:1O,,,,,29,0.14649424126086077,Cluster_071_131.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,25,0.12628813901798344,Cluster_033_167.xyz
1,0,0,9,1,1O,,,::::1S:1S:1S:1S:2S,,25,0.12628813901798344,Cluster_090_096.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,23,0.11618508789654476,Cluster_038_089.xyz
3,0,2,0,1,1O:1O:1O,,1O:2O,,,23,0.11618508789654476,Cluster_098_082.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,22,0.11113356233582541,Cluster_039_003.xyz
0,0,4,0,1,,,1O:1O:1O:1O,,,20,0.10103051121438675,Cluster_079_125.xyz
1,0,0,9,1,1O,,,::::1S:1S:2S:2S:2S,,19,0.0959789856536674,Cluster_027_160.xyz
0,0,1,9,1,,,1O,1S:1S:1S:2S:2S:3S:3S:3S:3S,,18,0.09092746009294807,Cluster_027_152.xyz
0,0,2,1,1,,,1O:1O,1S,,17,0.08587593453222873,Cluster_021_156.xyz
0,0,1,9,1,,,1O,1S:2S:2S:2S:2S:3S:3S:3S:3S,,17,0.08587593453222873,Cluster_079_152.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,17,0.08587593453222873,Cluster_044_003.xyz
1,0,0,9,1,1O,,,:::1S:1S:2S:3S:3S:3S,,13,0.06566983228935139,Cluster_065_160.xyz
0,0,2,1,1,,,1O:1O,3S,,12,0.06061830672863205,Cluster_047_142.xyz
0,0,3,1,1,,,1O:1O:1O,2S,,12,0.06061830672863205,Cluster_038_151.xyz
2,0,0,9,1,1O:1O,,,::::1S:1S:1S:1S:2S,,11,0.05556678116791271,Cluster_038_027.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,11,0.05556678116791271,Cluster_090_020.xyz
0,0,2,1,1,,,1O:1O,2S,,11,0.05556678116791271,Cluster_080_127.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,10,0.050515255607193374,Cluster_014_093.xyz
0,0,4,0,1,,,1O:1O:1O:2O,,,10,0.050515255607193374,Cluster_014_021.xyz
1,0,3,1,1,1O,,1O:1O:1O,1S,,10,0.050515255607193374,Cluster_054_062.xyz
0,0,3,0,1,,,1O:1O:2O,,,10,0.050515255607193374,Cluster_048_165.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,9,0.045463730046474034,Cluster_041_120.xyz
0,0,2,1,1,,,1O:2O,2S,,9,0.045463730046474034,Cluster_062_127.xyz
0,0,1,9,1,,,2O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_100_152.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,8,0.0404122044857547,Cluster_092_195.xyz
0,0,5,0,1,,,1O:1O:1O:1O:2O,,,8,0.0404122044857547,Cluster_010_021.xyz
1,0,1,9,1,1O,,1O,:::1S:1S:1S:1S:1S:1S,,7,0.03536067892503536,Cluster_015_184.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,7,0.03536067892503536,Cluster_071_077.xyz
0,0,3,1,1,,,1O:1O:2O,1S,,7,0.03536067892503536,Cluster_032_062.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:2S:2S,,6,0.030309153364316024,Cluster_020_184.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_013_093.xyz
3,0,3,0,1,1O:1O:1O,,1O:1O:1O,,,6,0.030309153364316024,Cluster_056_051.xyz
0,0,1,9,1,,,1O,1S:1S:1S:2S:3S:3S:4S:4S:4S,,6,0.030309153364316024,Cluster_051_152.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_025_126.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_081_187.xyz
2,0,2,1,1,:1O,,1O:1O,1S,,6,0.030309153364316024,Cluster_089_015.xyz
2,0,0,9,1,1O:1O,,,::::1S:1S:2S:2S:2S,,5,0.025257627803596687,Cluster_025_188.xyz
1,0,2,1,1,1O,,1O:2O,2S,,5,0.025257627803596687,Cluster_090_078.xyz
1,0,1,9,1,1O,,1O,1S:1S:2S:2S:2S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_067_093.xyz
3,0,1,1,1,:1O:1O,,1O,1S,,5,0.025257627803596687,Cluster_039_123.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:2S:3S:3S,,5,0.025257627803596687,Cluster_009_093.xyz
