num_dol,num_tfeg,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfeg,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,1,0,1,1,1O,2O,,1S,,4046,20.43847241867044,Cluster_065_078.xyz
0,2,0,0,1,,2O:2O,,,,3569,18.028894726207316,Cluster_034_148.xyz
1,1,1,0,1,1O,2O,1O,,,2468,12.467165083855324,Cluster_037_017.xyz
2,0,1,1,1,1O:1O,,1O,1S,,1182,5.970903212770256,Cluster_025_050.xyz
2,1,0,0,1,1O:1O,2O,,,,1107,5.592038795716307,Cluster_100_052.xyz
0,1,1,1,1,,2O,1O,1S,,1100,5.556678116791271,Cluster_100_110.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,660,3.3340068700747625,Cluster_042_107.xyz
0,2,1,0,1,,2O:2O,1O,,,397,2.0054556476055767,Cluster_082_128.xyz
0,2,1,0,1,,1O:2O,1O,,,377,1.9044251363911902,Cluster_001_085.xyz
1,2,0,0,1,1O,1O:2O,,,,347,1.75287936956961,Cluster_051_037.xyz
0,1,2,0,1,,2O,1O:1O,,,318,1.6063851283087491,Cluster_011_066.xyz
1,1,1,0,1,1O,2O,2O,,,232,1.1719539300868862,Cluster_090_025.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,219,1.1062840977975348,Cluster_052_115.xyz
2,1,1,0,1,1O:1O,2O,1O,,,218,1.1012325722368155,Cluster_004_017.xyz
1,1,0,1,1,1O,2O,,2S,,203,1.0254596888260255,Cluster_054_076.xyz
1,0,2,1,1,1O,,1O:1O,1S,,194,0.9799959587795515,Cluster_003_145.xyz
1,1,2,0,1,1O,2O,1O:1O,,,167,0.8436047686401293,Cluster_079_035.xyz
2,1,1,0,1,1O:1O,1O,1O,,,157,0.793089513032936,Cluster_009_035.xyz
0,1,0,1,1,,2O,,2S,,150,0.7577288341079006,Cluster_035_075.xyz
0,2,0,1,1,,1O:2O,,1S,,138,0.6971105273792685,Cluster_015_058.xyz
1,2,0,0,1,1O,2O:2O,,,,134,0.6769044251363912,Cluster_001_011.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,130,0.6566983228935138,Cluster_099_115.xyz
2,0,0,1,1,1O:1O,,,1S,,111,0.5607193372398465,Cluster_092_169.xyz
0,1,2,0,1,,2O,1O:2O,,,109,0.5506162861184077,Cluster_065_106.xyz
0,1,0,1,1,,2O,,1S,,105,0.5304101838755304,Cluster_058_116.xyz
1,1,0,0,1,1O,2O,,,,103,0.5203071327540917,Cluster_077_120.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,96,0.4849464538290564,Cluster_033_051.xyz
1,1,0,1,1,1O,1O,,1S,,92,0.46474035158617905,Cluster_032_101.xyz
1,0,1,1,1,1O,,1O,1S,,92,0.46474035158617905,Cluster_087_107.xyz
0,1,1,1,1,,2O,1O,2S,,90,0.4546373004647404,Cluster_079_125.xyz
1,0,1,1,1,1O,,2O,1S,,83,0.41927662153970496,Cluster_076_121.xyz
1,1,2,0,1,1O,1O,1O:1O,,,78,0.3940189937361083,Cluster_005_054.xyz
2,0,0,1,1,1O:1O,,,2S,,71,0.35865831481107296,Cluster_098_051.xyz
2,0,1,1,1,1O:1O,,1O,2S,,62,0.3131945847645989,Cluster_085_173.xyz
2,1,0,1,1,1O:1O,1O,,1S,,58,0.29298848252172155,Cluster_048_016.xyz
1,1,1,1,1,1O,1O,1O,1S,,55,0.2778339058395635,Cluster_029_027.xyz
2,0,1,0,1,1O:1O,,1O,,,43,0.2172155991109315,Cluster_063_061.xyz
1,1,1,0,1,1O,1O,2O,,,39,0.19700949686805416,Cluster_041_016.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,37,0.18690644574661547,Cluster_009_096.xyz
0,1,1,0,1,,2O,2O,,,37,0.18690644574661547,Cluster_086_035.xyz
0,1,1,0,1,,2O,1O,,,37,0.18690644574661547,Cluster_066_138.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,34,0.17175186906445747,Cluster_022_051.xyz
1,0,0,1,1,1O,,,2S,,34,0.17175186906445747,Cluster_084_051.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,32,0.1616488179430188,Cluster_079_046.xyz
1,1,0,1,1,1O,1O,,2S,,31,0.15659729238229944,Cluster_038_125.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,31,0.15659729238229944,Cluster_034_136.xyz
1,0,1,1,1,1O,,1O,2S,,30,0.1515457668215801,Cluster_028_115.xyz
0,2,0,0,1,,1O:2O,,,,29,0.14649424126086077,Cluster_021_181.xyz
0,1,0,9,1,,2O,,:::::1S:1S:1S:1S,,27,0.1363911901394221,Cluster_072_080.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,25,0.12628813901798344,Cluster_058_195.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,19,0.0959789856536674,Cluster_076_186.xyz
2,1,0,0,1,1O:1O,1O,,,,19,0.0959789856536674,Cluster_040_141.xyz
0,3,0,0,1,,1O:1O:2O,,,,18,0.09092746009294807,Cluster_082_005.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,18,0.09092746009294807,Cluster_053_154.xyz
0,1,0,1,1,,2O,,3S,,17,0.08587593453222873,Cluster_063_116.xyz
3,0,0,0,1,1O:1O:1O,,,,,16,0.0808244089715094,Cluster_044_107.xyz
1,1,1,0,1,1O,1O,1O,,,14,0.07072135785007072,Cluster_074_064.xyz
1,2,0,0,1,1O,1O:1O,,,,13,0.06566983228935139,Cluster_025_103.xyz
1,0,2,1,1,1O,,1O:1O,2S,,13,0.06566983228935139,Cluster_019_043.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,13,0.06566983228935139,Cluster_047_030.xyz
1,0,1,1,1,1O,,2O,2S,,13,0.06566983228935139,Cluster_054_029.xyz
2,0,1,0,1,1O:1O,,2O,,,13,0.06566983228935139,Cluster_045_010.xyz
1,1,1,1,1,1O,2O,1O,1S,,13,0.06566983228935139,Cluster_027_002.xyz
0,1,1,1,1,,2O,2O,1S,,13,0.06566983228935139,Cluster_064_095.xyz
0,2,0,1,1,,2O:2O,,1S,,12,0.06061830672863205,Cluster_009_155.xyz
0,2,1,0,1,,1O:2O,2O,,,12,0.06061830672863205,Cluster_042_160.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,11,0.05556678116791271,Cluster_022_145.xyz
2,0,0,1,1,1O:1O,,,3S,,11,0.05556678116791271,Cluster_046_050.xyz
1,2,1,0,1,1O,1O:2O,1O,,,10,0.050515255607193374,Cluster_092_182.xyz
1,2,1,0,1,1O,1O:1O,1O,,,10,0.050515255607193374,Cluster_034_069.xyz
1,0,1,1,1,1O,,1O,3S,,9,0.045463730046474034,Cluster_010_104.xyz
3,1,0,0,1,1O:1O:1O,2O,,,,9,0.045463730046474034,Cluster_094_138.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,9,0.045463730046474034,Cluster_002_092.xyz
1,0,2,0,1,1O,,1O:1O,,,9,0.045463730046474034,Cluster_025_171.xyz
1,0,2,0,1,1O,,1O:2O,,,8,0.0404122044857547,Cluster_081_023.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,8,0.0404122044857547,Cluster_047_115.xyz
1,1,2,0,1,1O,1O,1O:2O,,,8,0.0404122044857547,Cluster_000_102.xyz
1,2,1,0,1,1O,:2O,1O,,,8,0.0404122044857547,Cluster_031_071.xyz
0,1,3,0,1,,2O,1O:1O:1O,,,8,0.0404122044857547,Cluster_040_129.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,7,0.03536067892503536,Cluster_080_023.xyz
0,2,1,0,1,,2O:2O,2O,,,7,0.03536067892503536,Cluster_037_142.xyz
0,1,2,0,1,,1O,1O:2O,,,7,0.03536067892503536,Cluster_090_042.xyz
1,1,2,0,1,1O,2O,1O:2O,,,6,0.030309153364316024,Cluster_002_026.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,6,0.030309153364316024,Cluster_067_171.xyz
1,0,0,1,1,1O,,,3S,,6,0.030309153364316024,Cluster_007_045.xyz
1,0,0,1,1,1O,,,1S,,6,0.030309153364316024,Cluster_088_051.xyz
