num_dol,num_tfeibe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfeibe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,4635,23.41382097393413,Cluster_003_145.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2493,12.593453222873308,Cluster_037_017.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,2140,10.810264699939381,Cluster_086_102.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1759,8.885633461305314,Cluster_034_148.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1476,7.456051727621742,Cluster_008_156.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,604,3.0511214386744796,Cluster_042_107.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,585,2.9551424530208124,Cluster_052_058.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,532,2.6874115983026874,Cluster_065_078.xyz
2,0,1,1,1,1O:1O,,1O,2S,,461,2.3287532834916145,Cluster_030_125.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,395,1.9953525964841383,Cluster_004_017.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,346,1.7478278440088906,Cluster_019_137.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,289,1.4598908870478884,Cluster_003_014.xyz
1,0,1,1,1,1O,,2O,1S,,257,1.2982420691048697,Cluster_033_051.xyz
1,0,2,1,1,1O,,1O:1O,2S,,236,1.1921600323297636,Cluster_038_125.xyz
1,0,1,1,1,1O,,1O,1S,,218,1.1012325722368155,Cluster_084_051.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,215,1.0860779955546576,Cluster_009_179.xyz
1,0,1,1,1,1O,,1O,2S,,197,0.9951505354617094,Cluster_092_169.xyz
2,0,0,1,1,1O:1O,,,1S,,175,0.884016973125884,Cluster_048_151.xyz
2,0,0,1,1,1O:1O,,,2S,,167,0.8436047686401293,Cluster_074_079.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,166,0.8385532430794099,Cluster_020_079.xyz
1,0,2,0,1,1O,,1O:2O,,,153,0.7728834107900586,Cluster_077_043.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,134,0.6769044251363912,Cluster_054_081.xyz
2,0,1,0,1,1O:1O,,2O,,,119,0.6011315417256011,Cluster_031_072.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,91,0.4596888260254597,Cluster_032_110.xyz
2,0,1,0,1,1O:1O,,1O,,,84,0.4243281471004243,Cluster_003_035.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,78,0.3940189937361083,Cluster_092_057.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,76,0.3839159426146696,Cluster_002_002.xyz
1,0,1,1,1,1O,,1O,3S,,70,0.3536067892503536,Cluster_058_138.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,65,0.3283491614467569,Cluster_090_119.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,64,0.3232976358860376,Cluster_039_003.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,64,0.3232976358860376,Cluster_033_194.xyz
1,0,2,1,1,1O,,1O:2O,1S,,63,0.31824611032531824,Cluster_036_080.xyz
1,0,1,1,1,1O,,2O,2S,,62,0.3131945847645989,Cluster_098_000.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,62,0.3131945847645989,Cluster_060_044.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,61,0.3081430592038796,Cluster_065_106.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,51,0.2576278035966862,Cluster_008_107.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,48,0.2424732269145282,Cluster_013_103.xyz
2,0,0,1,1,1O:1O,,,3S,,48,0.2424732269145282,Cluster_056_134.xyz
