num_dol,num_tfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfep,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,3985,20.130329359466558,Cluster_003_145.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2807,14.17963224893918,Cluster_054_076.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,2544,12.851081026469993,Cluster_099_115.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1509,7.62275207112548,Cluster_058_116.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1171,5.915336431602344,Cluster_034_148.xyz
2,0,0,1,1,1O:1O,,,1S,,627,3.1673065265710245,Cluster_003_014.xyz
1,0,1,1,1,1O,,1O,1S,,600,3.0309153364316024,Cluster_092_169.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,599,3.025863810870883,Cluster_062_127.xyz
2,0,1,0,1,1O:1O,,1O,,,529,2.6722570216205295,Cluster_051_037.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,346,1.7478278440088906,Cluster_100_072.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,320,1.616488179430188,Cluster_064_126.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,294,1.4851485148514851,Cluster_050_077.xyz
2,0,1,0,1,1O:1O,,2O,,,229,1.1567993534047283,Cluster_010_075.xyz
1,0,1,1,1,1O,,2O,1S,,224,1.1315417256011315,Cluster_068_030.xyz
3,0,0,0,1,1O:1O:1O,,,,,220,1.111335623358254,Cluster_041_180.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,217,1.0961810466760962,Cluster_100_052.xyz
1,0,2,0,1,1O,,1O:2O,,,205,1.035562739947464,Cluster_072_144.xyz
1,0,2,0,1,1O,,1O:1O,,,189,0.9547383309759547,Cluster_014_106.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,186,0.9395837542937967,Cluster_023_014.xyz
