num_dol,num_tfepe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfepe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,4422,22.33784602950091,Cluster_092_169.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2839,14.341281066882198,Cluster_086_102.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,2410,12.174176601333603,Cluster_003_145.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1507,7.612649020004041,Cluster_054_076.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1251,6.319458476459891,Cluster_001_011.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,610,3.081430592038796,Cluster_079_031.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,568,2.8692665184885837,Cluster_051_037.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,475,2.399474641341685,Cluster_080_177.xyz
2,0,1,1,1,1O:1O,,1O,2S,,373,1.8842190341483127,Cluster_058_116.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,361,1.8236007274196808,Cluster_053_163.xyz
1,0,1,1,1,1O,,1O,2S,,333,1.6821580117195394,Cluster_081_034.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,294,1.4851485148514851,Cluster_008_107.xyz
2,0,0,1,1,1O:1O,,,1S,,257,1.2982420691048697,Cluster_041_180.xyz
2,0,0,1,1,1O:1O,,,2S,,243,1.227520711254799,Cluster_086_034.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,239,1.2073146090119216,Cluster_031_027.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,217,1.0961810466760962,Cluster_030_125.xyz
1,0,1,1,1,1O,,1O,1S,,214,1.0810264699939383,Cluster_097_077.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,186,0.9395837542937967,Cluster_008_156.xyz
1,0,2,0,1,1O,,1O:2O,,,181,0.9143261264902001,Cluster_087_107.xyz
1,0,1,1,1,1O,,2O,1S,,179,0.9042230753687613,Cluster_035_084.xyz
2,0,1,0,1,1O:1O,,2O,,,166,0.8385532430794099,Cluster_100_137.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,142,0.7173166296221459,Cluster_057_124.xyz
2,0,1,0,1,1O:1O,,1O,,,142,0.7173166296221459,Cluster_023_014.xyz
1,0,2,1,1,1O,,1O:1O,2S,,132,0.6668013740149525,Cluster_052_024.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,126,0.6364922206506365,Cluster_065_106.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,123,0.6213376439684785,Cluster_053_029.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,104,0.5253586583148111,Cluster_015_175.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,103,0.5203071327540917,Cluster_024_086.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,80,0.404122044857547,Cluster_048_151.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,73,0.36876136593251163,Cluster_034_148.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,72,0.36370984037179227,Cluster_077_079.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,71,0.35865831481107296,Cluster_020_135.xyz
1,0,0,1,1,1O,,,2S,,66,0.33340068700747627,Cluster_075_034.xyz
3,0,0,0,1,1O:1O:1O,,,,,60,0.3030915336431602,Cluster_051_147.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,58,0.29298848252172155,Cluster_002_195.xyz
1,0,2,0,1,1O,,2O:2O,,,55,0.2778339058395635,Cluster_058_080.xyz
1,0,2,0,1,1O,,1O:1O,,,54,0.2727823802788442,Cluster_089_015.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,52,0.26267932915740555,Cluster_054_145.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,52,0.26267932915740555,Cluster_092_057.xyz
1,0,1,1,1,1O,,2O,2S,,48,0.2424732269145282,Cluster_047_088.xyz
1,0,1,1,1,1O,,1O,3S,,41,0.20711254798949283,Cluster_017_179.xyz
1,0,2,1,1,1O,,1O:2O,1S,,40,0.2020610224287735,Cluster_069_116.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,36,0.18185492018589614,Cluster_061_080.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,35,0.1768033946251768,Cluster_054_042.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,35,0.1768033946251768,Cluster_001_085.xyz
1,0,4,0,1,1O,,1O:1O:1O:2O,,,33,0.16670034350373814,Cluster_055_037.xyz
1,0,0,1,1,1O,,,3S,,31,0.15659729238229944,Cluster_031_166.xyz
2,0,0,1,1,1O:1O,,,3S,,27,0.1363911901394221,Cluster_009_055.xyz
2,0,1,1,1,1O:1O,,2O,1S,,27,0.1363911901394221,Cluster_051_155.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,25,0.12628813901798344,Cluster_061_169.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,24,0.1212366134572641,Cluster_014_182.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,24,0.1212366134572641,Cluster_076_121.xyz
0,0,1,9,1,,,2O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,22,0.11113356233582541,Cluster_014_121.xyz
0,0,2,1,1,,,1O:1O,1S,,22,0.11113356233582541,Cluster_019_175.xyz
0,0,2,1,1,,,1O:2O,1S,,21,0.10608203677510608,Cluster_038_175.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,19,0.0959789856536674,Cluster_005_121.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,18,0.09092746009294807,Cluster_030_156.xyz
3,0,2,0,1,1O:1O:1O,,1O:2O,,,18,0.09092746009294807,Cluster_094_177.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,13,0.06566983228935139,Cluster_057_121.xyz
0,0,4,0,1,,,1O:1O:1O:1O,,,12,0.06061830672863205,Cluster_010_095.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,11,0.05556678116791271,Cluster_035_058.xyz
