num_dol,num_tfetfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfetfe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,3726,18.82198423924025,Cluster_065_078.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2792,14.10385936552839,Cluster_051_037.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,1601,8.087492422711659,Cluster_014_106.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1512,7.637906647807638,Cluster_034_148.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1409,7.117599515053546,Cluster_092_169.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,915,4.622145888058194,Cluster_008_156.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,552,2.788442109517074,Cluster_009_035.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,548,2.7682360072741967,Cluster_030_160.xyz
2,0,1,1,1,1O:1O,,1O,2S,,547,2.7631844817134774,Cluster_011_066.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,513,2.59143261264902,Cluster_003_145.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,455,2.2984441301272986,Cluster_054_076.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,321,1.6215397049909073,Cluster_040_059.xyz
1,0,2,1,1,1O,,1O:1O,2S,,282,1.424530208122853,Cluster_037_017.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,228,1.151747827844009,Cluster_062_127.xyz
2,0,0,1,1,1O:1O,,,2S,,223,1.1264902000404122,Cluster_058_099.xyz
1,0,1,1,1,1O,,1O,2S,,207,1.045665791068903,Cluster_041_180.xyz
1,0,1,1,1,1O,,2O,1S,,203,1.0254596888260255,Cluster_002_024.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,171,0.8638108708830067,Cluster_011_153.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,169,0.853707819761568,Cluster_082_013.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,158,0.7981410385936553,Cluster_052_058.xyz
1,0,2,0,1,1O,,1O:2O,,,157,0.793089513032936,Cluster_060_044.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,139,0.7021620529399879,Cluster_076_189.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,134,0.6769044251363912,Cluster_013_187.xyz
2,0,1,0,1,1O:1O,,2O,,,127,0.6415437462113558,Cluster_084_051.xyz
1,0,1,1,1,1O,,1O,3S,,127,0.6415437462113558,Cluster_054_180.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,120,0.6061830672863204,Cluster_050_042.xyz
2,0,0,1,1,1O:1O,,,1S,,119,0.6011315417256011,Cluster_053_029.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,115,0.5809254394827238,Cluster_056_159.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,97,0.48999797938977574,Cluster_080_021.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,97,0.48999797938977574,Cluster_034_089.xyz
2,0,0,1,1,1O:1O,,,3S,,91,0.4596888260254597,Cluster_011_143.xyz
1,0,1,1,1,1O,,1O,1S,,91,0.4596888260254597,Cluster_043_180.xyz
1,0,0,1,1,1O,,,2S,,89,0.449585774904021,Cluster_086_102.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,89,0.449585774904021,Cluster_069_021.xyz
1,0,2,0,1,1O,,2O:2O,,,88,0.44453424934330166,Cluster_088_040.xyz
