num_tfmtms,num_tfsi,num_dol,num_ps,num_li,atoms_tfmtms,atoms_tfsi,atoms_dol,atoms_ps,atoms_li,count,%,cluster
0,1,2,1,1,,1O,1O:1O,1S,,4425,22.353000606183066,Cluster_065_078.xyz
0,1,3,0,1,,1O,1O:1O:1O,,,2661,13.442109517074156,Cluster_086_102.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,2378,12.012527783390585,Cluster_054_076.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,1737,8.77449989896949,Cluster_001_011.xyz
0,2,1,1,1,,1O:1O,1O,1S,,714,3.6067892503536068,Cluster_099_115.xyz
0,2,2,0,1,,1O:2O,1O:1O,,,628,3.172358052131744,Cluster_092_169.xyz
0,3,2,0,1,,1O:1O:1O,1O:1O,,,600,3.0309153364316024,Cluster_014_106.xyz
0,2,3,0,1,,1O:1O,1O:1O:1O,,,581,2.934936350777935,Cluster_037_017.xyz
0,1,2,1,1,,1O,1O:1O,2S,,574,2.8995756718528995,Cluster_048_151.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,532,2.6874115983026874,Cluster_065_106.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,351,1.7730854718124873,Cluster_003_145.xyz
0,3,1,0,1,,1O:1O:2O,1O,,,333,1.6821580117195394,Cluster_092_057.xyz
0,0,4,0,1,,,1O:1O:1O:1O,,,256,1.2931905435441504,Cluster_088_040.xyz
0,0,2,1,1,,,1O:1O,2S,,233,1.1770054556476055,Cluster_034_148.xyz
0,1,1,1,1,,1O,1O,2S,,219,1.1062840977975348,Cluster_041_074.xyz
0,1,3,0,1,,2O,1O:1O:1O,,,195,0.9850474843402708,Cluster_033_019.xyz
0,0,2,1,1,,,1O:1O,1S,,167,0.8436047686401293,Cluster_093_181.xyz
0,0,3,1,1,,,1O:1O:1O,2S,,143,0.7223681551828652,Cluster_042_107.xyz
0,0,2,9,1,,,1O:1O,:::::1S:1S:1S:1S,,139,0.7021620529399879,Cluster_033_051.xyz
0,2,1,1,1,,1O:1O,1O,2S,,131,0.6617498484542331,Cluster_010_144.xyz
0,1,1,1,1,,2O,1O,1S,,128,0.6465952717720752,Cluster_040_059.xyz
0,1,1,9,1,,1O,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,123,0.6213376439684785,Cluster_040_025.xyz
0,1,1,9,1,,1O,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,120,0.6061830672863204,Cluster_009_087.xyz
0,1,2,0,1,,2O,1O:1O,,,119,0.6011315417256011,Cluster_004_152.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,118,0.5960800161648818,Cluster_096_030.xyz
0,2,1,0,1,,1O:2O,1O,,,107,0.5405132349969691,Cluster_048_174.xyz
0,3,2,0,1,,1O:1O:2O,1O:1O,,,106,0.5354617094362497,Cluster_020_079.xyz
0,1,1,1,1,,1O,1O,1S,,100,0.5051525560719338,Cluster_051_147.xyz
0,1,4,0,1,,1O,1O:1O:1O:1O,,,98,0.49504950495049505,Cluster_091_166.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,83,0.41927662153970496,Cluster_079_087.xyz
0,1,1,1,1,,1O,1O,3S,,81,0.4091735704182663,Cluster_010_157.xyz
0,0,2,1,1,,,1O:1O,3S,,80,0.404122044857547,Cluster_028_084.xyz
0,3,1,0,1,,1O:2O:2O,1O,,,69,0.34855526368963424,Cluster_081_185.xyz
0,0,1,1,1,,,1O,2S,,66,0.33340068700747627,Cluster_081_084.xyz
0,1,1,9,1,,1O,1O,:::::1S:1S:1S:1S,,61,0.3081430592038796,Cluster_022_051.xyz
0,4,1,0,1,,1O:1O:1O:1O,1O,,,61,0.3081430592038796,Cluster_027_106.xyz
0,2,2,1,1,,1O:1O,1O:1O,1S,,60,0.3030915336431602,Cluster_072_144.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,59,0.2980400080824409,Cluster_008_047.xyz
0,1,2,0,1,,1O,1O:1O,,,59,0.2980400080824409,Cluster_009_055.xyz
0,1,3,1,1,,1O,1O:1O:1O,1S,,53,0.26773085471812486,Cluster_100_064.xyz
0,1,1,1,1,,2O,1O,2S,,53,0.26773085471812486,Cluster_005_136.xyz
0,1,2,1,1,,2O,1O:1O,1S,,46,0.23237017579308952,Cluster_083_189.xyz
0,0,1,1,1,,,1O,3S,,44,0.22226712467165083,Cluster_006_070.xyz
0,2,2,0,1,,2O:2O,1O:1O,,,38,0.1919579713073348,Cluster_043_061.xyz
