num_dol,num_tfpg,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfpg,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,1,0,1,1,1O,2O,,1S,,3979,20.100020206102243,Cluster_076_121.xyz
0,2,0,0,1,,2O:2O,,,,3665,18.513841180036373,Cluster_054_076.xyz
1,1,1,0,1,1O,2O,1O,,,2629,13.280460699131138,Cluster_011_066.xyz
2,1,0,0,1,1O:1O,2O,,,,1199,6.0567791473024855,Cluster_013_061.xyz
2,0,1,1,1,1O:1O,,1O,1S,,1036,5.233380480905233,Cluster_086_183.xyz
0,1,1,1,1,,2O,1O,1S,,1035,5.228328955344514,Cluster_092_169.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,455,2.2984441301272986,Cluster_042_107.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,403,2.035764800969893,Cluster_065_078.xyz
1,2,0,0,1,1O,1O:2O,,,,375,1.8943220852697515,Cluster_003_145.xyz
0,1,2,0,1,,2O,1O:1O,,,371,1.874115983026874,Cluster_045_066.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,367,1.8539098807839969,Cluster_008_156.xyz
0,2,1,0,1,,1O:2O,1O,,,258,1.303293594665589,Cluster_038_027.xyz
0,1,0,1,1,,2O,,2S,,200,1.0103051121438675,Cluster_006_150.xyz
1,1,0,1,1,1O,2O,,2S,,181,0.9143261264902001,Cluster_076_098.xyz
1,0,2,1,1,1O,,1O:1O,1S,,180,0.9092746009294808,Cluster_057_124.xyz
0,2,0,1,1,,1O:2O,,1S,,172,0.868862396443726,Cluster_010_190.xyz
2,1,1,0,1,1O:1O,2O,1O,,,147,0.7425742574257426,Cluster_077_043.xyz
2,1,1,0,1,1O:1O,1O,1O,,,144,0.7274196807435845,Cluster_054_180.xyz
1,1,1,0,1,1O,2O,2O,,,141,0.7122651040614265,Cluster_038_125.xyz
0,1,0,1,1,,2O,,1S,,131,0.6617498484542331,Cluster_068_195.xyz
1,1,2,0,1,1O,2O,1O:1O,,,114,0.5758739139220045,Cluster_068_157.xyz
2,0,0,1,1,1O:1O,,,1S,,112,0.5657708628005658,Cluster_068_183.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,102,0.5152556071933724,Cluster_033_019.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,97,0.48999797938977574,Cluster_041_071.xyz
0,2,1,0,1,,2O:2O,1O,,,97,0.48999797938977574,Cluster_001_011.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,95,0.479894928268337,Cluster_044_098.xyz
1,1,0,1,1,1O,1O,,1S,,89,0.449585774904021,Cluster_075_086.xyz
1,1,0,0,1,1O,2O,,,,88,0.44453424934330166,Cluster_039_126.xyz
1,0,1,1,1,1O,,1O,1S,,88,0.44453424934330166,Cluster_091_166.xyz
1,1,2,0,1,1O,1O,1O:1O,,,81,0.4091735704182663,Cluster_090_020.xyz
0,1,1,1,1,,2O,1O,2S,,80,0.404122044857547,Cluster_071_050.xyz
1,1,1,1,1,1O,1O,1O,1S,,80,0.404122044857547,Cluster_025_050.xyz
0,1,2,0,1,,2O,1O:2O,,,78,0.3940189937361083,Cluster_014_087.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,73,0.36876136593251163,Cluster_009_035.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,69,0.34855526368963424,Cluster_081_091.xyz
2,0,0,1,1,1O:1O,,,2S,,64,0.3232976358860376,Cluster_042_179.xyz
