num_dol,num_tmp,num_tfsi,num_ps,num_li,atoms_dol,atoms_tmp,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,3,0,0,1,1O,1O:1O:1O,,,,3212,16.225500101030512,Cluster_054_076.xyz
1,2,1,0,1,1O,1O:1O,1O,,,1995,10.077793493635077,Cluster_013_187.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,1786,9.022024651444736,Cluster_098_073.xyz
1,2,0,0,1,1O,1O:1O,,,,1728,8.729036168923015,Cluster_037_017.xyz
4,2,0,0,1,1O:1O:1O:1O,1O:1O,,,,1616,8.16326530612245,Cluster_072_122.xyz
3,3,0,0,1,1O:1O:1O,1O:1O:1O,,,,1188,6.001212366134572,Cluster_020_085.xyz
3,2,0,1,1,1O:1O:1O,1O:1O,,1S,,1143,5.773893715902203,Cluster_092_169.xyz
2,2,0,1,1,1O:1O,1O:1O,,1S,,951,4.80400080824409,Cluster_065_078.xyz
2,1,0,1,1,1O:1O,1O,,1S,,518,2.6166902404526167,Cluster_054_180.xyz
3,1,0,1,1,1O:1O:1O,1O,,1S,,512,2.586381087088301,Cluster_034_148.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,484,2.4449383713881594,Cluster_031_072.xyz
2,2,1,0,1,1O:1O,1O:1O,1O,,,464,2.3439078601737724,Cluster_006_150.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,391,1.9751464942412609,Cluster_005_136.xyz
3,1,1,0,1,1O:1O:1O,1O,1O,,,385,1.9448373408769448,Cluster_099_115.xyz
2,1,1,1,1,1O:1O,1O,1O,1S,,335,1.692261062840978,Cluster_041_180.xyz
4,4,0,0,1,1O:1O:1O:1O,1O:1O:1O:1O,,,,322,1.6265912305516266,Cluster_003_145.xyz
2,2,1,1,1,1O:1O,1O:1O,1O,1S,,280,1.4144271570014144,Cluster_004_017.xyz
2,1,1,0,1,1O:1O,1O,1O,,,228,1.151747827844009,Cluster_054_081.xyz
3,3,0,1,1,1O:1O:1O,1O:1O:1O,,1S,,226,1.1416447767225701,Cluster_030_160.xyz
4,1,0,0,1,1O:1O:1O:1O,1O,,,,178,0.899171549808042,Cluster_030_045.xyz
2,1,0,0,1,1O:1O,1O,,,,168,0.8486562942008486,Cluster_062_127.xyz
2,0,1,1,1,1O:1O,,1O,1S,,165,0.8335017175186906,Cluster_034_106.xyz
1,1,0,1,1,1O,1O,,1S,,135,0.6819559506971106,Cluster_086_102.xyz
1,1,1,1,1,1O,1O,1O,1S,,129,0.6516467973327945,Cluster_041_071.xyz
2,2,2,0,1,1O:1O,1O:1O,1O:1O,,,123,0.6213376439684785,Cluster_010_150.xyz
3,3,1,0,1,:1O:1O,1O:1O:1O,1O,,,104,0.5253586583148111,Cluster_063_023.xyz
2,0,0,1,1,1O:1O,,,1S,,78,0.3940189937361083,Cluster_081_091.xyz
2,1,2,0,1,1O:1O,1O,1O:1O,,,72,0.36370984037179227,Cluster_079_046.xyz
4,4,0,0,1,:1O:1O:1O,1O:1O:1O:1O,,,,71,0.35865831481107296,Cluster_084_051.xyz
4,3,0,0,1,:1O:1O:1O,1O:1O:1O,,,,62,0.3131945847645989,Cluster_020_008.xyz
2,0,1,0,1,1O:1O,,1O,,,62,0.3131945847645989,Cluster_099_116.xyz
1,1,0,1,1,1O,1O,,2S,,55,0.2778339058395635,Cluster_077_109.xyz
1,0,1,1,1,1O,,1O,1S,,49,0.24752475247524752,Cluster_016_116.xyz
2,2,1,0,1,1O:1O,1O:1O,2O,,,45,0.2273186502323702,Cluster_087_182.xyz
1,1,1,0,1,1O,1O,1O,,,39,0.19700949686805416,Cluster_028_109.xyz
3,3,0,0,1,:1O:1O,1O:1O:1O,,,,38,0.1919579713073348,Cluster_018_132.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,33,0.16670034350373814,Cluster_065_106.xyz
1,1,1,1,1,1O,1O,2O,1S,,32,0.1616488179430188,Cluster_044_098.xyz
1,1,0,0,1,1O,1O,,,,32,0.1616488179430188,Cluster_076_127.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,30,0.1515457668215801,Cluster_049_031.xyz
2,2,0,1,1,1O:1O,1O:1O,,2S,,21,0.10608203677510608,Cluster_090_188.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,20,0.10103051121438675,Cluster_077_110.xyz
2,1,0,1,1,1O:1O,1O,,2S,,19,0.0959789856536674,Cluster_100_056.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,19,0.0959789856536674,Cluster_000_019.xyz
2,1,0,9,1,1O:1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,16,0.0808244089715094,Cluster_099_019.xyz
2,0,0,0,1,1O:1O,,,,,13,0.06566983228935139,Cluster_074_113.xyz
3,2,0,0,1,:1O:1O,1O:1O,,,,12,0.06061830672863205,Cluster_095_081.xyz
3,0,0,0,1,1O:1O:1O,,,,,12,0.06061830672863205,Cluster_032_110.xyz
