num_dol,num_toluene,num_tfsi,num_ps,num_li,atoms_dol,atoms_toluene,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,3933,19.867650030309154,Cluster_092_169.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,3665,18.513841180036373,Cluster_051_037.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,2220,11.21438674479693,Cluster_034_148.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,1937,9.784805011113356,Cluster_008_156.xyz
2,0,1,1,1,1O:1O,,1O,2S,,681,3.440088906849869,Cluster_005_163.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,669,3.3794706001212367,Cluster_068_052.xyz
1,0,2,1,1,1O,,1O:1O,1S,,490,2.4752475247524752,Cluster_025_050.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,472,2.3843200646595273,Cluster_051_147.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,379,1.9145281875126288,Cluster_053_029.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,367,1.8539098807839969,Cluster_081_091.xyz
2,0,0,1,1,1O:1O,,,1S,,342,1.7276217417660134,Cluster_031_141.xyz
2,0,0,1,1,1O:1O,,,2S,,314,1.586179026065872,Cluster_052_024.xyz
2,0,1,0,1,1O:1O,,2O,,,231,1.166902404526167,Cluster_100_052.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,228,1.151747827844009,Cluster_007_018.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,217,1.0961810466760962,Cluster_015_026.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,183,0.9244291776116387,Cluster_099_115.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,171,0.8638108708830067,Cluster_011_066.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,148,0.7476257829864619,Cluster_090_020.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,143,0.7223681551828652,Cluster_076_098.xyz
1,0,1,1,1,1O,,1O,1S,,142,0.7173166296221459,Cluster_045_066.xyz
1,0,1,1,1,1O,,2O,1S,,137,0.6920590018185492,Cluster_087_107.xyz
2,0,0,1,1,1O:1O,,,3S,,135,0.6819559506971106,Cluster_020_034.xyz
1,0,2,1,1,1O,,1O:1O,2S,,130,0.6566983228935138,Cluster_002_024.xyz
2,0,1,0,1,1O:1O,,1O,,,128,0.6465952717720752,Cluster_079_031.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,126,0.6364922206506365,Cluster_031_053.xyz
1,0,1,1,1,1O,,1O,2S,,125,0.6314406950899172,Cluster_058_061.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,104,0.5253586583148111,Cluster_080_001.xyz
1,0,1,1,1,1O,,1O,3S,,76,0.3839159426146696,Cluster_005_048.xyz
1,0,2,0,1,1O,,1O:2O,,,71,0.35865831481107296,Cluster_065_078.xyz
1,0,1,1,1,1O,,2O,2S,,70,0.3536067892503536,Cluster_035_073.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,69,0.34855526368963424,Cluster_034_116.xyz
3,0,0,0,1,1O:1O:1O,,,,,68,0.34350373812891494,Cluster_061_080.xyz
1,1,2,0,1,1O,,1O:1O,,,67,0.3384522125681956,Cluster_063_078.xyz
0,1,3,0,1,,,1O:1O:1O,,,61,0.3081430592038796,Cluster_094_032.xyz
2,0,1,1,1,1O:1O,,2O,1S,,53,0.26773085471812486,Cluster_041_183.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,49,0.24752475247524752,Cluster_030_045.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,47,0.23742170135380886,Cluster_048_165.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,46,0.23237017579308952,Cluster_050_073.xyz
