num_dol,num_tpe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tpe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,4540,22.933926045665793,Cluster_092_169.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2733,13.805819357445948,Cluster_051_037.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,1780,8.99171549808042,Cluster_076_121.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1383,6.986259850474843,Cluster_080_177.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1261,6.369973732067084,Cluster_072_122.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,853,4.308951303293595,Cluster_086_102.xyz
2,0,1,1,1,1O:1O,,1O,2S,,616,3.1117397454031117,Cluster_074_152.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,565,2.8541119418064254,Cluster_081_091.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,539,2.722772277227723,Cluster_037_017.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,518,2.6166902404526167,Cluster_013_061.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,348,1.7579308951303294,Cluster_042_107.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,291,1.4699939381693272,Cluster_054_145.xyz
2,0,0,1,1,1O:1O,,,2S,,241,1.2174176601333602,Cluster_082_128.xyz
1,0,1,1,1,1O,,2O,1S,,236,1.1921600323297636,Cluster_011_041.xyz
1,0,2,1,1,1O,,1O:1O,2S,,235,1.1871085067690443,Cluster_054_078.xyz
1,0,1,1,1,1O,,1O,2S,,232,1.1719539300868862,Cluster_077_043.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,199,1.005253586583148,Cluster_099_115.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,194,0.9799959587795515,Cluster_001_011.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,177,0.8941200242473227,Cluster_030_125.xyz
1,0,1,1,1,1O,,1O,1S,,167,0.8436047686401293,Cluster_032_109.xyz
2,0,1,0,1,1O:1O,,2O,,,157,0.793089513032936,Cluster_090_070.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,156,0.7880379874722166,Cluster_068_052.xyz
2,0,0,1,1,1O:1O,,,1S,,147,0.7425742574257426,Cluster_079_087.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,136,0.6870074762578299,Cluster_099_008.xyz
1,0,1,1,1,1O,,1O,3S,,132,0.6668013740149525,Cluster_078_058.xyz
1,0,2,0,1,1O,,1O:2O,,,101,0.5102040816326531,Cluster_090_061.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,101,0.5102040816326531,Cluster_020_085.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,95,0.479894928268337,Cluster_066_138.xyz
1,0,1,1,1,1O,,2O,2S,,93,0.46979187714689835,Cluster_050_073.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,86,0.434431198221863,Cluster_065_078.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,83,0.41927662153970496,Cluster_042_020.xyz
1,0,4,0,1,1O,,1O:1O:1O:2O,,,83,0.41927662153970496,Cluster_077_092.xyz
2,0,0,1,1,1O:1O,,,3S,,74,0.37381289149323094,Cluster_034_148.xyz
2,0,1,1,1,1O:1O,,2O,1S,,66,0.33340068700747627,Cluster_077_176.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,61,0.3081430592038796,Cluster_011_048.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,60,0.3030915336431602,Cluster_011_147.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,56,0.2828854314002829,Cluster_008_156.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,53,0.26773085471812486,Cluster_091_181.xyz
1,0,0,1,1,1O,,,2S,,51,0.2576278035966862,Cluster_010_150.xyz
