num_dol,num_tte,num_tfsi,num_ps,num_li,atoms_dol,atoms_tte,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,4353,21.989290765811276,Cluster_099_115.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2744,13.861386138613861,Cluster_034_148.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1756,8.870478884623155,Cluster_009_035.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,1403,7.08729036168923,Cluster_086_102.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1304,6.587189331178016,Cluster_008_156.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,790,3.9907051929682766,Cluster_003_145.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,730,3.687613659325116,Cluster_054_076.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,543,2.7429783794706,Cluster_001_011.xyz
2,0,1,1,1,1O:1O,,1O,2S,,531,2.682360072741968,Cluster_098_073.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,447,2.2580319256415438,Cluster_042_107.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,400,2.020610224287735,Cluster_094_032.xyz
1,0,2,1,1,1O,,1O:1O,2S,,330,1.6670034350373812,Cluster_022_042.xyz
2,0,0,1,1,1O:1O,,,2S,,308,1.5558698727015559,Cluster_003_014.xyz
1,0,1,1,1,1O,,1O,2S,,245,1.2376237623762376,Cluster_090_189.xyz
1,0,1,1,1,1O,,2O,1S,,228,1.151747827844009,Cluster_093_181.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,182,0.9193776520509194,Cluster_076_121.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,162,0.8183471408365326,Cluster_092_169.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,151,0.7627803596686199,Cluster_062_021.xyz
2,0,0,1,1,1O:1O,,,1S,,145,0.7324712063043038,Cluster_095_163.xyz
1,0,1,1,1,1O,,1O,1S,,144,0.7274196807435845,Cluster_081_169.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,141,0.7122651040614265,Cluster_014_106.xyz
1,0,2,0,1,1O,,1O:2O,,,139,0.7021620529399879,Cluster_068_153.xyz
2,0,1,0,1,1O:1O,,2O,,,139,0.7021620529399879,Cluster_057_088.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,124,0.6263891695291978,Cluster_030_125.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,113,0.5708223883612851,Cluster_019_137.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,107,0.5405132349969691,Cluster_036_040.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,95,0.479894928268337,Cluster_033_019.xyz
1,0,1,1,1,1O,,1O,3S,,95,0.479894928268337,Cluster_009_096.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,84,0.4243281471004243,Cluster_050_073.xyz
