num_dol,num_ttfp,num_tfsi,num_ps,num_li,atoms_dol,atoms_ttfp,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,1,0,1,1,1O,2O,,1S,,1259,6.359870680945646,Cluster_084_051.xyz
0,2,0,0,1,,3O1P:3O1P,,,,1185,5.986057789452414,Cluster_054_180.xyz
2,0,1,1,1,1O:1O,,1O,1S,,1048,5.293998787633865,Cluster_054_076.xyz
2,1,1,0,1,1O:1O,2O,1O,,,791,3.995756718528996,Cluster_072_122.xyz
1,1,2,0,1,1O,2O,1O:1O,,,704,3.5562739947464133,Cluster_068_183.xyz
1,1,2,0,1,1O,3O1P,1O:1O,,,569,2.874318044049303,Cluster_008_156.xyz
1,1,0,1,1,1O,2O,,2S,,484,2.4449383713881594,Cluster_051_037.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,478,2.414629218023843,Cluster_080_177.xyz
0,2,1,0,1,,2O:3O1P,1O,,,465,2.3489593857344917,Cluster_068_153.xyz
1,1,1,0,1,1O,3O1P,2O,,,428,2.1620529399878765,Cluster_086_102.xyz
1,1,1,0,1,1O,3O1P,1O,,,414,2.091331582137806,Cluster_083_189.xyz
0,1,1,1,1,,2O,1O,1S,,399,2.0155586987270158,Cluster_003_014.xyz
1,1,0,1,1,1O,3O1P,,1S,,363,1.8337037785411194,Cluster_037_017.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,355,1.7932915740553648,Cluster_065_078.xyz
0,2,1,0,1,,2O:2O,1O,,,353,1.783188522933926,Cluster_014_106.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,351,1.7730854718124873,Cluster_060_083.xyz
1,2,0,0,1,1O,2O:2O,,,,333,1.6821580117195394,Cluster_081_034.xyz
0,1,1,1,1,,3O1P,1O,1S,,327,1.6518488583552233,Cluster_001_085.xyz
1,1,1,0,1,1O,2O,2O,,,322,1.6265912305516266,Cluster_081_091.xyz
1,1,1,1,1,1O,2O,1O,1S,,316,1.5962820771873105,Cluster_001_011.xyz
1,1,1,0,1,1O,2O,1O,,,316,1.5962820771873105,Cluster_035_147.xyz
1,1,2,0,1,1O,3O,1O:1O,,,310,1.5659729238229945,Cluster_029_072.xyz
2,1,1,0,1,1O:1O,3O1P,1O,,,307,1.5508183471408366,Cluster_031_027.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,305,1.540715296019398,Cluster_100_052.xyz
0,2,0,0,1,,2O:3O1P,,,,301,1.5205091937765205,Cluster_034_148.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,267,1.348757324712063,Cluster_050_073.xyz
0,2,0,0,1,,3O:3O1P,,,,225,1.1365932511618508,Cluster_077_079.xyz
0,1,2,0,1,,3O1P,1O:2O,,,213,1.0759749444332187,Cluster_086_183.xyz
1,1,0,1,1,1O,2O1P,,1S,,201,1.0153566377045868,Cluster_099_115.xyz
0,2,1,0,1,,2O:3O,1O,,,191,0.9648413820973935,Cluster_046_163.xyz
2,1,1,0,1,1O:1O,3O,1O,,,188,0.9496868054152354,Cluster_051_147.xyz
0,1,1,1,1,,2O,1O,2S,,179,0.9042230753687613,Cluster_035_075.xyz
2,1,0,0,1,1O:1O,2O,,,,155,0.7829864619114972,Cluster_011_066.xyz
1,0,2,1,1,1O,,1O:1O,1S,,155,0.7829864619114972,Cluster_005_136.xyz
0,2,0,1,1,,2O:2O,,1S,,153,0.7728834107900586,Cluster_030_160.xyz
1,1,0,1,1,1O,3O,,1S,,135,0.6819559506971106,Cluster_100_169.xyz
2,0,1,1,1,1O:1O,,1O,2S,,122,0.6162861184077592,Cluster_037_012.xyz
1,1,1,0,1,1O,3O,2O,,,122,0.6162861184077592,Cluster_080_096.xyz
0,1,2,0,1,,2O,1O:2O,,,122,0.6162861184077592,Cluster_062_137.xyz
0,1,0,1,1,,3O1P,,2S,,117,0.5910284906041624,Cluster_092_169.xyz
0,2,0,0,1,,2O1P:3O1P,,,,113,0.5708223883612851,Cluster_012_148.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,106,0.5354617094362497,Cluster_074_152.xyz
1,1,1,0,1,1O,2O1P,1O,,,103,0.5203071327540917,Cluster_058_100.xyz
2,1,0,0,1,1O:1O,3O1P,,,,100,0.5051525560719338,Cluster_061_100.xyz
0,2,1,0,1,,2O:2O1P,1O,,,100,0.5051525560719338,Cluster_047_057.xyz
1,2,0,0,1,1O,2O:3O1P,,,,99,0.5001010305112144,Cluster_025_141.xyz
2,1,0,1,1,1O:1O,2O,,1S,,98,0.49504950495049505,Cluster_038_125.xyz
0,1,2,0,1,,3O1P,1O:1O,,,98,0.49504950495049505,Cluster_042_107.xyz
0,1,1,1,1,,3O,1O,1S,,95,0.479894928268337,Cluster_010_075.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,93,0.46979187714689835,Cluster_092_028.xyz
0,1,1,1,1,,2O,2O,1S,,88,0.44453424934330166,Cluster_046_050.xyz
0,1,1,1,1,,3O1P,1O,2S,,87,0.43948272378258235,Cluster_032_101.xyz
1,1,1,0,1,1O,3O,1O,,,74,0.37381289149323094,Cluster_040_059.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,70,0.3536067892503536,Cluster_003_145.xyz
2,1,1,0,1,1O:1O,2O1P,1O,,,69,0.34855526368963424,Cluster_070_055.xyz
0,1,1,1,1,,2O1P,1O,1S,,69,0.34855526368963424,Cluster_084_046.xyz
0,1,0,1,1,,3O1P,,1S,,66,0.33340068700747627,Cluster_005_080.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,66,0.33340068700747627,Cluster_068_052.xyz
0,1,2,0,1,,3O,1O:2O,,,65,0.3283491614467569,Cluster_029_175.xyz
1,1,1,0,1,1O,2O1P,2O,,,62,0.3131945847645989,Cluster_011_143.xyz
1,2,0,0,1,1O,2O:3O,,,,62,0.3131945847645989,Cluster_031_141.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,58,0.29298848252172155,Cluster_100_056.xyz
1,1,1,1,1,1O,3O1P,1O,1S,,57,0.28793695696100224,Cluster_097_077.xyz
0,1,0,9,1,,2O,,:::::1S:1S:1S:1S,,57,0.28793695696100224,Cluster_090_170.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,56,0.2828854314002829,Cluster_040_002.xyz
1,1,1,1,1,1O,3O,1O,1S,,55,0.2778339058395635,Cluster_030_070.xyz
1,2,0,0,1,1O,2O:2O1P,,,,54,0.2727823802788442,Cluster_075_034.xyz
3,1,0,0,1,1O:1O:1O,2O,,,,53,0.26773085471812486,Cluster_081_187.xyz
1,1,2,0,1,1O,2O1P,1O:1O,,,53,0.26773085471812486,Cluster_034_140.xyz
0,1,1,1,1,,3O,1O,2S,,52,0.26267932915740555,Cluster_067_064.xyz
1,1,0,1,1,1O,2O1P,,2S,,49,0.24752475247524752,Cluster_010_167.xyz
2,0,0,1,1,1O:1O,,,1S,,48,0.2424732269145282,Cluster_089_174.xyz
0,1,2,1,1,,2O,1O:1O,1S,,46,0.23237017579308952,Cluster_002_024.xyz
2,1,1,0,1,1O:1O,1O,1O,,,46,0.23237017579308952,Cluster_071_139.xyz
1,1,0,1,1,1O,3O1P,,2S,,45,0.2273186502323702,Cluster_060_119.xyz
0,2,0,1,1,,1O:2O,,1S,,43,0.2172155991109315,Cluster_032_080.xyz
2,0,0,1,1,1O:1O,,,2S,,41,0.20711254798949283,Cluster_094_032.xyz
0,1,3,0,1,,3O1P,1O:1O:1O,,,40,0.2020610224287735,Cluster_042_020.xyz
0,1,0,1,1,,2O,,2S,,38,0.1919579713073348,Cluster_058_195.xyz
1,1,0,1,1,1O,3O,,2S,,38,0.1919579713073348,Cluster_081_084.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,37,0.18690644574661547,Cluster_032_135.xyz
1,1,1,1,1,1O,1O,1O,1S,,37,0.18690644574661547,Cluster_077_043.xyz
0,1,2,0,1,,2O,1O:1O,,,36,0.18185492018589614,Cluster_010_144.xyz
1,1,2,0,1,1O,2O,1O:2O,,,35,0.1768033946251768,Cluster_010_020.xyz
0,1,2,1,1,,3O1P,1O:1O,1S,,35,0.1768033946251768,Cluster_095_014.xyz
1,0,1,1,1,1O,,2O,1S,,35,0.1768033946251768,Cluster_077_110.xyz
2,1,0,0,1,1O:1O,3O,,,,32,0.1616488179430188,Cluster_067_189.xyz
0,2,0,0,1,,2O:2O,,,,32,0.1616488179430188,Cluster_023_176.xyz
0,2,1,0,1,,1O:2O,1O,,,30,0.1515457668215801,Cluster_072_042.xyz
1,1,2,0,1,1O,1O,1O:1O,,,30,0.1515457668215801,Cluster_082_128.xyz
0,1,3,0,1,,2O,1O:1O:1O,,,29,0.14649424126086077,Cluster_090_020.xyz
0,2,1,0,1,,2O:2O,2O,,,29,0.14649424126086077,Cluster_053_074.xyz
1,0,1,1,1,1O,,1O,2S,,29,0.14649424126086077,Cluster_029_095.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,28,0.14144271570014144,Cluster_002_002.xyz
2,0,0,1,1,1O:1O,,,3S,,28,0.14144271570014144,Cluster_044_098.xyz
0,1,2,0,1,,2O1P,1O:2O,,,28,0.14144271570014144,Cluster_054_107.xyz
0,1,1,1,1,,2O1P,1O,2S,,28,0.14144271570014144,Cluster_020_085.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,27,0.1363911901394221,Cluster_024_086.xyz
0,2,0,1,1,,2O:3O1P,,1S,,26,0.13133966457870277,Cluster_061_080.xyz
1,0,2,1,1,1O,,1O:1O,2S,,26,0.13133966457870277,Cluster_010_121.xyz
0,2,0,0,1,,2O:3O,,,,26,0.13133966457870277,Cluster_074_134.xyz
2,1,0,1,1,1O:1O,1O,,1S,,26,0.13133966457870277,Cluster_099_058.xyz
0,0,1,1,1,,,1O,2S,,25,0.12628813901798344,Cluster_022_010.xyz
0,2,0,1,1,,2O:3O,,1S,,25,0.12628813901798344,Cluster_096_130.xyz
0,2,0,0,1,,2O:2O1P,,,,25,0.12628813901798344,Cluster_095_080.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,24,0.1212366134572641,Cluster_008_002.xyz
1,0,1,1,1,1O,,1O,1S,,24,0.1212366134572641,Cluster_097_191.xyz
2,1,0,0,1,1O:1O,2O1P,,,,24,0.1212366134572641,Cluster_047_132.xyz
0,2,1,0,1,,2O1P:3O1P,1O,,,22,0.11113356233582541,Cluster_085_141.xyz
1,1,0,0,1,1O,3O1P,,,,21,0.10608203677510608,Cluster_094_021.xyz
0,1,2,1,1,,3O,1O:1O,1S,,21,0.10608203677510608,Cluster_012_040.xyz
0,1,1,1,1,,3O1P,2O,1S,,21,0.10608203677510608,Cluster_068_114.xyz
0,0,2,1,1,,,1O:1O,2S,,21,0.10608203677510608,Cluster_053_010.xyz
0,0,1,1,1,,,1O,3S,,20,0.10103051121438675,Cluster_003_010.xyz
0,1,1,0,1,,3O1P,2O,,,20,0.10103051121438675,Cluster_077_088.xyz
0,1,2,0,1,,3O,1O:1O,,,19,0.0959789856536674,Cluster_083_175.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,19,0.0959789856536674,Cluster_084_171.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,19,0.0959789856536674,Cluster_090_052.xyz
0,1,0,1,1,,3O,,2S,,18,0.09092746009294807,Cluster_050_077.xyz
1,2,0,0,1,1O,1O:2O,,,,17,0.08587593453222873,Cluster_054_162.xyz
0,1,1,0,1,,3O1P,1O,,,17,0.08587593453222873,Cluster_056_159.xyz
1,0,2,0,1,1O,,1O:2O,,,16,0.0808244089715094,Cluster_068_191.xyz
0,1,3,0,1,,3O,1O:1O:1O,,,16,0.0808244089715094,Cluster_008_107.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,16,0.0808244089715094,Cluster_077_120.xyz
0,1,0,1,1,,2O,,1S,,15,0.07577288341079005,Cluster_028_084.xyz
1,1,0,1,1,1O,1O,,2S,,15,0.07577288341079005,Cluster_055_172.xyz
1,1,0,1,1,1O,1O,,1S,,15,0.07577288341079005,Cluster_038_077.xyz
0,2,1,0,1,,2O1P:3O,1O,,,15,0.07577288341079005,Cluster_018_022.xyz
2,0,1,0,1,1O:1O,,1O,,,14,0.07072135785007072,Cluster_012_133.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,14,0.07072135785007072,Cluster_006_003.xyz
0,1,2,0,1,,2O1P,1O:1O,,,14,0.07072135785007072,Cluster_026_140.xyz
0,0,1,1,1,,,2O,2S,,14,0.07072135785007072,Cluster_021_010.xyz
1,0,1,1,1,1O,,1O,3S,,13,0.06566983228935139,Cluster_011_007.xyz
0,1,0,9,1,,2O,,::::1S:1S:1S:1S:2S,,13,0.06566983228935139,Cluster_072_170.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,13,0.06566983228935139,Cluster_007_191.xyz
3,1,0,0,1,1O:1O:1O,3O1P,,,,13,0.06566983228935139,Cluster_097_044.xyz
3,1,0,0,1,1O:1O:1O,3O,,,,13,0.06566983228935139,Cluster_013_066.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,13,0.06566983228935139,Cluster_027_152.xyz
2,0,1,1,1,1O:1O,,2O,1S,,12,0.06061830672863205,Cluster_008_174.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,12,0.06061830672863205,Cluster_042_123.xyz
1,1,0,1,1,1O,2O,,3S,,11,0.05556678116791271,Cluster_052_071.xyz
0,1,0,1,1,,2O,,3S,,11,0.05556678116791271,Cluster_023_014.xyz
0,1,0,1,1,,3O1P,,3S,,11,0.05556678116791271,Cluster_061_115.xyz
1,1,1,1,1,1O,2O1P,1O,1S,,11,0.05556678116791271,Cluster_030_046.xyz
1,1,1,1,1,1O,2O,1O,2S,,11,0.05556678116791271,Cluster_058_142.xyz
0,2,0,1,1,,2O:2O1P,,1S,,11,0.05556678116791271,Cluster_031_130.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,11,0.05556678116791271,Cluster_086_135.xyz
2,1,0,1,1,1O:1O,3O1P,,1S,,10,0.050515255607193374,Cluster_044_182.xyz
1,1,0,0,1,1O,2O,,,,10,0.050515255607193374,Cluster_047_084.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,10,0.050515255607193374,Cluster_032_065.xyz
1,0,1,1,1,1O,,2O,2S,,10,0.050515255607193374,Cluster_058_110.xyz
0,1,0,1,1,,2O1P,,2S,,10,0.050515255607193374,Cluster_013_045.xyz
0,1,0,1,1,,3O,,1S,,10,0.050515255607193374,Cluster_058_172.xyz
2,0,1,0,1,1O:1O,,2O,,,10,0.050515255607193374,Cluster_054_117.xyz
2,1,0,1,1,1O:1O,3O,,1S,,9,0.045463730046474034,Cluster_070_071.xyz
0,2,0,0,1,,2O1P:3O,,,,9,0.045463730046474034,Cluster_088_130.xyz
1,0,2,1,1,1O,,1O:2O,1S,,9,0.045463730046474034,Cluster_085_005.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,9,0.045463730046474034,Cluster_098_073.xyz
2,1,1,0,1,1O:1O,2O,2O,,,8,0.0404122044857547,Cluster_022_161.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,8,0.0404122044857547,Cluster_024_012.xyz
0,0,2,1,1,,,1O:1O,3S,,8,0.0404122044857547,Cluster_045_010.xyz
1,1,1,0,1,1O,1O,2O,,,8,0.0404122044857547,Cluster_067_027.xyz
0,2,0,1,1,,1O:2O,,2S,,8,0.0404122044857547,Cluster_021_089.xyz
0,1,0,9,1,,2O,,::::1S:1S:2S:2S:2S,,8,0.0404122044857547,Cluster_018_037.xyz
0,1,3,0,1,,2O,1O:1O:2O,,,7,0.03536067892503536,Cluster_080_020.xyz
0,1,0,9,1,,2O,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,7,0.03536067892503536,Cluster_086_056.xyz
0,2,1,0,1,,1O:3O1P,1O,,,7,0.03536067892503536,Cluster_014_126.xyz
0,1,1,1,1,,3O,2O,1S,,7,0.03536067892503536,Cluster_024_168.xyz
1,0,0,9,1,1O,,,1S:2S:3S:3S:3S:3S:4S:4S:4S,,7,0.03536067892503536,Cluster_001_002.xyz
